Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Car,9,1,Petrol,1762
Car,12,1,Petrol,1590
Car,12,1,Petrol,1389
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,1,1,Petrol,1242
Car,4,1,Petrol,3246
Car,13,1,Petrol,1272
Car,5,1,Petrol,1299
Car,9,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Taxi/Private hire car,1,1,Heavy oil,2402
Taxi/Private hire car,3,1,Gas/Bi-fuel,1796
Car,11,1,Petrol,1783
Taxi/Private hire car,7,1,Heavy oil,2496
Car,11,1,Petrol,2199
Car,3,1,Petrol,1388
Car,10,1,Petrol,1796
Car,6,1,Petrol,1242
Taxi/Private hire car,10,1,Petrol,1998
Motorcycle 125cc and under,1,1,Petrol,124
Goods 7.5 tonnes mgw and over,3,1,Heavy oil,12600
Car,3,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2459
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,1,1,Heavy oil,3222
Car,8,1,Petrol,1781
Car,4,1,Petrol,1598
Car,12,1,Petrol,1596
Car,13,1,Petrol,1984
Motorcycle 50cc and under,1,1,Petrol,49
Car,5,1,Petrol,3217
Car,8,1,Petrol,1598
Car,5,1,Petrol,1396
Car,11,1,Petrol,1119
Car,6,1,Petrol,1587
Car,7,1,Petrol,1396
Car,5,1,Petrol,1762
Car,1,1,Heavy oil,2401
Taxi/Private hire car,6,1,Heavy oil,2664
Car,3,1,Petrol,1598
Car,1,1,Petrol,1999
Car,14,1,Petrol,2970
Motorcycle 125cc and under,8,1,Petrol,124
Car,10,1,Petrol,2793
Car,4,1,Petrol,1796
Car,5,1,Petrol,1242
Car,9,1,Petrol,1762
Car,6,1,Petrol,1299
Car,10,1,Petrol,1761
Car,3,1,Petrol,1598
Car,10,1,Petrol,1119
Car,8,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,1,1,Gas/Bi-fuel,2295
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1998
Car,1,1,Petrol,1149
Car,9,1,Petrol,1996
Car,7,1,Petrol,1850
Car,1,1,Heavy oil,1560
Car,12,1,Heavy oil,2495
Car,4,1,Petrol,1299
Car,2,1,Petrol,1796
Car,2,1,Petrol,1388
Car,8,1,Petrol,1598
Car,1,1,Petrol,1999
Car,13,1,Petrol,1493
Car,5,1,Petrol,1275
Car,2,1,Petrol,1796
Car,2,1,Petrol,1198
Motorcycle over 500cc,4,1,Petrol,599
Car,6,1,Petrol,1850
Car,6,1,Petrol,1600
Car,4,1,Petrol,973
Car,16,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2151
Car,7,1,Petrol,1332
