Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Car,6,1,Petrol,1850
Car,12,1,Petrol,1761
Car,8,1,Petrol,1597
Car,11,1,Petrol,1120
Car,6,1,Petrol,1799
Motorcycle over 500cc,3,1,Petrol,599
Car,12,1,Heavy oil,1905
Car,8,1,Petrol,1598
Car,5,1,Petrol,2671
Car,12,1,Petrol,998
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle over 500cc,4,1,Petrol,790
Car,1,1,Petrol,1343
Car,7,1,Petrol,1493
Car,6,1,Petrol,1762
Car,2,1,Petrol,1798
Car,10,1,Petrol,1994
Car,3,1,Petrol,1596
Car,8,1,Petrol,1498
Car,4,1,Petrol,1242
Car,9,1,Petrol,1799
Car,16,1,Petrol,1598
Car,7,1,Heavy oil,1753
Car,7,1,Petrol,1396
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2874
Car,7,1,Petrol,1124
Car,2,1,Petrol,1587
Car,3,1,Petrol,1199
Car,7,1,Petrol,1597
Car,2,1,Petrol,1493
Car,5,1,Petrol,1149
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1686
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1998
Car,9,1,Petrol,1998
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,7685
Motorcycle over 125cc and up to 500cc,5,1,Petrol,499
Car,14,1,Petrol,2675
Car,7,1,Petrol,1242
Car,8,1,Petrol,1598
Other vehicle,4,1,Heavy oil,2151
Car,1,1,Heavy oil,2685
Car,9,1,Heavy oil,1905
Motorcycle over 500cc,5,1,Petrol,645
Motorcycle 125cc and under,1,1,Petrol,102
Taxi/Private hire car,7,2,Heavy oil,2664
Car,2,1,Petrol,1769
Car,2,1,Petrol,1995
Car,2,1,Petrol,1598
Car,6,1,Petrol,1797
Car,8,1,Petrol,998
Car,11,1,Petrol,1597
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2459
Car,6,1,Petrol,1390
Car,4,1,Petrol,1242
Car,11,1,Petrol,998
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2499
Car,7,1,Petrol,2799
Car,4,1,Petrol,1988
Car,6,1,Petrol,1998
Car,13,1,Petrol,1171
Motorcycle over 125cc and up to 500cc,10,1,Petrol,499
Car,15,1,Petrol,2316
Car,1,1,Petrol,1198
Car,3,1,Petrol,998
Car,5,1,Petrol,1984
Motorcycle 50cc and under,2,1,Petrol,49
Car,2,1,Petrol,1108
Car,8,1,Heavy oil,1896
Car,6,1,Petrol,1590
Car,7,1,Petrol,1988
Motorcycle over 500cc,2,1,Petrol,998
Car,10,1,Petrol,1108
Car,3,1,Petrol,1995
Car,6,1,Petrol,3248
Car,6,1,Petrol,1998
Car,4,1,Petrol,1149
Goods 7.5 tonnes mgw and over,9,1,Heavy oil,11700
Car,6,1,Petrol,1598
Car,4,1,Petrol,998
Car,11,1,Heavy oil,1686
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,12130
Car,7,1,Petrol,1984
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2151
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle over 500cc,4,1,Petrol,599
Goods over 3.5t. and under 7.5t,5,1,Heavy oil,4250
Car,11,1,Heavy oil,1360
Car,6,1,Petrol,999
Car,1,1,Heavy oil,1995
Car,9,1,Petrol,2494
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1870
Taxi/Private hire car,12,1,Petrol,1998
Car,3,1,Petrol,1598
Car,4,1,Petrol,1985
Car,14,1,Petrol,2438
Car,7,1,Petrol,1985
Car,2,1,Petrol,1388
Motorcycle 50cc and under,2,1,Petrol,49
Car,12,1,Petrol,1391
Car,8,1,Heavy oil,2180
Car,3,1,Heavy oil,1896
Car,13,1,Petrol,1118
Car,8,1,Petrol,1998
Car,2,1,Petrol,1598
Car,5,1,Petrol,1895
Car,7,1,Petrol,1895
Car,2,1,Petrol,1798
Car,7,1,Petrol,1597
Car,9,1,Heavy oil,1905
Car,5,1,Petrol,1995
Car,11,1,Petrol,2199
Car,2,1,Heavy oil,1398
Car,12,1,Petrol,1988
Car,5,1,Petrol,1149
Car,11,1,Petrol,1390
Motorcycle 125cc and under,5,1,Petrol,125
Car,2,1,Petrol,1360
Car,7,1,Petrol,1392
Car,5,1,Petrol,1796
Car,11,1,Petrol,1998
Motorcycle over 500cc,4,1,Petrol,645
Car,10,1,Petrol,1796
Motorcycle over 500cc,7,1,Petrol,599
Car,3,1,Petrol,1598
Car,2,1,Petrol,2494
Car,14,1,Petrol,1118
Car,2,1,Petrol,3950
Car,4,1,Petrol,1998
Car,1,1,Petrol,1198
Car,7,1,Petrol,4000
Car,13,1,Petrol,1905
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2151
Motorcycle 125cc and under,5,1,Petrol,124
Car,4,1,Petrol,2362
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1753
Car,11,1,Petrol,1997
Motorcycle 50cc and under,3,1,Petrol,49
Car,13,1,Petrol,1796
Car,10,1,Petrol,1400
Car,5,1,Petrol,1984
Car,7,1,Petrol,1994
Car,11,1,Petrol,998
Car,7,1,Petrol,1360
Car,7,1,Petrol,1998
Car,5,1,Petrol,1998
Car,7,1,Petrol,1991
Car,7,1,Petrol,1242
Car,18,1,Petrol,1766
Car,2,1,Petrol,973
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1997
Car,12,1,Petrol,1598
Car,3,1,Petrol,2972
Car,13,1,Petrol,1781
Car,9,1,Petrol,1849
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Car,16,1,Petrol,1998
Car,7,1,Heavy oil,1753
Car,13,1,Petrol,1392
Car,5,1,Heavy oil,2487
Motorcycle 125cc and under,1,1,Petrol,124
Car,12,1,Heavy oil,1700
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle over 125cc and up to 500cc,2,1,Petrol,487
Car,10,1,Petrol,1120
Car,18,1,Petrol,2986
Car,3,1,Petrol,1995
Car,7,1,Petrol,1799
Car,6,1,Petrol,1895
Car,10,1,Petrol,1991
Car,15,1,Petrol,1962
Motorcycle over 500cc,18,1,Petrol,600
Car,5,1,Petrol,1769
Motorcycle over 500cc,5,1,Petrol,600
Car,8,1,Petrol,1948
Car,11,1,Heavy oil,1753
Car,10,1,Petrol,1800
Car,1,1,Petrol,2494
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Car,1,1,Petrol,1390
Car,4,1,Petrol,1796
Car,5,1,Petrol,1796
Car,10,1,Petrol,1761
Motorcycle 125cc and under,2,1,Petrol,124
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Car,10,1,Petrol,1196
Motorcycle 125cc and under,3,1,Petrol,124
Car,3,1,Petrol,1796
Car,7,1,Petrol,2793
Car,5,1,Petrol,1242
Car,1,1,Petrol,1339
Car,5,1,Petrol,1389
Car,7,1,Petrol,1388
Car,10,1,Petrol,1597
Car,1,1,Petrol,1390
Car,14,1,Heavy oil,2440
Other vehicle,11,1,Heavy oil,5480
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,2184
Car,10,1,Petrol,1108
Car,7,1,Petrol,1598
Motorcycle 50cc and under,3,1,Petrol,49
Car,3,1,Petrol,2198
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,12,1,Petrol,1597
Car,8,1,Petrol,1390
Car,3,1,Petrol,2979
Car,15,1,Petrol,1597
Car,2,1,Petrol,3724
Car,8,1,Petrol,1796
Car,1,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,8,1,Petrol,2946
Car,7,1,Petrol,1596
Car,3,1,Petrol,1587
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,1998
Car,1,1,Heavy oil,1951
Motorcycle over 125cc and up to 500cc,27,1,Petrol,496
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1753
Car,5,1,Petrol,1275
Car,13,1,Petrol,1468
Car,12,1,Petrol,1597
Car,5,1,Petrol,1598
Car,11,1,Petrol,1390
Car,12,1,Petrol,1597
Motorcycle over 500cc,11,1,Petrol,740
Taxi/Private hire car,18,1,Heavy oil,2495
Car,8,1,Petrol,1598
Car,4,1,Petrol,1242
Car,3,1,Petrol,1598
Motorcycle 125cc and under,3,1,Petrol,85
Car,8,1,Petrol,1120
Motorcycle 125cc and under,10,1,Petrol,85
Car,2,1,Heavy oil,1896
Car,2,1,Heavy oil,1896
Car,4,1,Petrol,1390
Car,8,1,Heavy oil,1905
Car,9,1,Petrol,1799
Motorcycle over 500cc,7,1,Petrol,749
Car,9,1,Petrol,2256
Car,4,1,Petrol,1598
Car,6,1,Petrol,1598
Car,8,1,Petrol,1762
Car,4,1,Petrol,1390
Car,7,1,Petrol,1242
Car,7,1,Petrol,3300
Car,3,1,Petrol,1769
Taxi/Private hire car,3,1,Heavy oil,2664
Car,4,1,Petrol,1598
Motorcycle 125cc and under,6,1,Petrol,124
Car,3,1,Petrol,1984
Car,4,1,Petrol,1199
Car,10,1,Petrol,1796
Car,5,1,Heavy oil,1753
Van / Goods 3.5 tonnes mgw or under,11,1,Heavy oil,1753
Motorcycle 125cc and under,6,1,Petrol,124
Car,2,1,Heavy oil,1998
Car,7,1,Petrol,1242
Car,6,1,Petrol,1242
Car,6,1,Petrol,1762
Car,9,1,Petrol,1991
Taxi/Private hire car,5,1,Heavy oil,2664
Car,5,1,Petrol,1598
Car,6,1,Petrol,1898
Car,4,1,Petrol,1199
Car,1,1,Heavy oil,2148
Car,5,1,Petrol,1596
Car,12,1,Petrol,1389
Car,13,1,Heavy oil,2200
Car,2,1,Petrol,3200
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1753
Car,15,1,Petrol,2316
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1997
Car,14,1,Petrol,1597
Car,9,1,Petrol,2438
Car,7,1,Petrol,1242
Car,9,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,1686
Motorcycle over 500cc,5,1,Petrol,998
Motorcycle over 500cc,9,1,Heavy oil,918
Car,8,1,Petrol,1195
Car,13,1,Petrol,1396
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,2,1,Heavy oil,1997
Car,1,1,Petrol,1388
Car,11,1,Petrol,1597
Car,4,1,Petrol,1796
Car,7,1,Petrol,1984
Car,2,1,Petrol,2521
Car,6,1,Petrol,1598
Car,11,1,Petrol,1493
Car,13,1,Petrol,1391
Car,5,1,Petrol,1242
Car,1,1,Heavy oil,1686
Car,10,1,Petrol,1998
Taxi/Private hire car,6,1,Heavy oil,2664
Car,2,1,Petrol,1396
Car,4,1,Petrol,1598
Car,8,1,Petrol,2946
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Taxi/Private hire car,2,1,Heavy oil,2402
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle over 500cc,14,1,Petrol,748
Motorcycle 50cc and under,5,1,Petrol,49
Car,12,1,Petrol,1392
Car,7,1,Petrol,1341
Car,7,1,Petrol,1796
Car,10,1,Petrol,1991
Car,2,1,Petrol,1390
Car,10,1,Petrol,1597
Car,7,1,Petrol,1392
Car,4,1,Petrol,1590
Car,3,1,Heavy oil,2902
Car,4,1,Petrol,1388
Car,3,1,Heavy oil,1461
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Car,18,1,Petrol,1490
Motorcycle 125cc and under,6,1,Petrol,100
Car,2,1,Petrol,1984
Car,12,1,Petrol,954
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,4,1,Petrol,1840
Car,3,1,Petrol,1397
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2402
Car,5,1,Petrol,1332
Car,8,1,Petrol,1597
Car,10,1,Petrol,1242
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2151
Car,12,1,Petrol,1391
Car,6,1,Petrol,1599
Car,2,1,Heavy oil,1896
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,8,1,Petrol,1498
Car,15,1,Petrol,1580
Motorcycle 50cc and under,6,1,Petrol,49
Car,5,1,Petrol,998
Car,8,1,Petrol,973
Car,4,1,Petrol,1794
Car,9,1,Petrol,1781
Car,16,1,Petrol,1998
Car,5,1,Petrol,1840
Car,5,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1998
Van / Goods 3.5 tonnes mgw or under,13,1,Petrol,2000
Car,12,1,Petrol,1396
Car,6,1,Petrol,1597
Car,4,1,Petrol,1596
Car,3,1,Petrol,1199
Car,6,1,Petrol,1796
Car,3,1,Petrol,1299
Car,10,1,Petrol,1996
Car,13,1,Heavy oil,1699
Bus or coach (17 or more pass seats),40,1,Heavy oil,15000
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,1,1,Petrol,1596
Car,1,1,Petrol,1149
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1753
Car,15,1,Petrol,1590
Car,1,1,Heavy oil,2776
Car,9,1,Heavy oil,1527
Car,1,1,Petrol,1596
Motorcycle over 500cc,3,1,Petrol,1299
Car,4,1,Heavy oil,1686
Car,13,1,Petrol,1118
Motorcycle 50cc and under,4,1,Petrol,49
Car,3,1,Petrol,1769
Car,8,1,Heavy oil,1905
Car,2,1,Petrol,1390
Van / Goods 3.5 tonnes mgw or under,10,1,Heavy oil,2400
Car,12,1,Petrol,1998
Car,3,1,Petrol,2435
Car,9,1,Heavy oil,1994
Motorcycle 50cc and under,3,1,Petrol,49
Car,5,1,Petrol,1796
Motorcycle 125cc and under,8,1,Petrol,124
Car,10,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1686
Car,9,1,Petrol,1390
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1905
Car,10,1,Heavy oil,1952
Car,4,1,Petrol,1397
Car,7,1,Petrol,1390
Car,2,1,Petrol,1242
Van / Goods 3.5 tonnes mgw or under,12,1,Heavy oil,1753
Car,11,1,Heavy oil,1769
Motorcycle 125cc and under,5,1,Petrol,124
Car,10,1,Heavy oil,2180
Motorcycle over 500cc,2,1,Petrol,738
Car,2,1,Petrol,1149
Car,11,1,Petrol,1392
Bus or coach (17 or more pass seats),20,1,Heavy oil,1045
Car,5,1,Petrol,1124
Bus or coach (17 or more pass seats),3,1,Heavy oil,5883
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,5,1,Petrol,1000
Car,2,1,Petrol,1596
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2496
Car,9,1,Petrol,1389
Car,8,1,Petrol,1797
Car,11,1,Petrol,1389
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2461
Car,5,1,Petrol,1998
Car,14,1,Petrol,1596
Car,1,1,Heavy oil,1995
Car,2,1,Heavy oil,1753
Motorcycle 125cc and under,1,1,Petrol,102
Car,11,1,Petrol,1996
Car,16,1,Petrol,2960
Car,9,1,Petrol,1390
Car,9,1,Petrol,1332
Car,6,1,Petrol,1587
Car,9,1,Petrol,1149
Car,7,1,Petrol,1489
Car,7,1,Petrol,1242
Car,3,1,Heavy oil,1951
Car,5,1,Petrol,1242
Car,12,1,Petrol,1590
Car,8,1,Petrol,1998
Car,16,1,Petrol,988
Car,6,1,Petrol,998
Motorcycle over 500cc,5,1,Petrol,599
Car,13,1,Heavy oil,2400
Car,20,1,Petrol,1766
Car,3,1,Heavy oil,1998
Car,4,1,Petrol,1895
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2148
Taxi/Private hire car,5,1,Heavy oil,2664
Car,12,1,Petrol,1781
Car,15,1,Petrol,999
Car,5,1,Petrol,1396
Car,9,1,Petrol,1988
Car,2,1,Petrol,1599
Motorcycle 125cc and under,1,1,Petrol,100
Car,5,1,Petrol,1497
Car,5,1,Petrol,1796
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,2,1,Heavy oil,1997
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2461
Bus or coach (17 or more pass seats),3,1,Heavy oil,9200
Car,1,1,Petrol,1600
Car,7,1,Petrol,1998
Car,3,1,Petrol,1242
Car,1,1,Heavy oil,1998
Car,13,1,Petrol,1392
Car,8,1,Petrol,3199
Van / Goods 3.5 tonnes mgw or under,11,1,Heavy oil,2496
Car,11,1,Petrol,1800
Motorcycle over 125cc and up to 500cc,5,1,Petrol,499
Car,1,1,Petrol,1299
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Car,7,1,Petrol,1598
Car,4,1,Petrol,2435
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,9,1,Petrol,2498
Motorcycle over 500cc,4,1,Petrol,599
Bus or coach (17 or more pass seats),3,1,Heavy oil,12000
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2800
Car,7,1,Petrol,998
Car,13,1,Petrol,1392
Car,11,1,Petrol,1598
Car,10,1,Petrol,1296
Car,2,1,Petrol,1985
Motorcycle over 500cc,3,1,Petrol,599
Car,2,1,Petrol,1769
Car,7,1,Heavy oil,1998
Car,7,1,Heavy oil,1896
Car,1,1,Petrol,1598
Motorcycle 125cc and under,4,1,Petrol,125
Car,8,1,Petrol,1391
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2496
Goods over 3.5t. and under 7.5t,17,1,Heavy oil,5958
Motorcycle over 500cc,3,1,Petrol,996
Car,2,1,Petrol,2362
Motorcycle over 125cc and up to 500cc,9,1,Petrol,498
Car,9,1,Heavy oil,1994
Car,11,1,Petrol,1598
Car,8,1,Petrol,2792
Car,6,1,Petrol,1598
Car,10,1,Petrol,1781
Car,8,1,Petrol,1998
Car,13,1,Petrol,1391
Motorcycle 125cc and under,6,1,Petrol,95
Bus or coach (17 or more pass seats),2,1,Heavy oil,3900
Car,6,1,Petrol,1598
Car,5,1,Heavy oil,1974
Car,12,1,Petrol,1597
Car,7,1,Petrol,1799
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2499
Car,12,1,Heavy oil,1700
Car,8,1,Petrol,1242
Motorcycle over 500cc,6,1,Petrol,645
Motorcycle 50cc and under,2,1,Petrol,49
Car,5,1,Heavy oil,1400
Motorcycle over 500cc,8,1,Petrol,918
Car,9,1,Petrol,1597
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,1905
Car,4,1,Petrol,1390
Car,10,1,Petrol,1396
Car,4,1,Petrol,1390
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1461
Motorcycle 125cc and under,1,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1753
Car,7,1,Petrol,1587
Car,17,1,Heavy oil,2494
Car,13,1,Petrol,1389
Car,9,1,Petrol,2319
Car,11,1,Petrol,1799
Car,5,1,Petrol,1800
Car,7,1,Petrol,1388
Car,4,1,Petrol,1747
Car,16,1,Petrol,2316
Motorcycle over 500cc,2,1,Petrol,647
Car,2,1,Heavy oil,1995
Goods 7.5 tonnes mgw and over,4,1,Heavy oil,5861
Car,1,1,Petrol,1388
Car,7,1,Petrol,1598
Motorcycle over 500cc,2,1,Petrol,647
Car,10,1,Petrol,1781
Car,2,1,Heavy oil,1896
Car,1,1,Heavy oil,1997
Car,2,1,Heavy oil,1997
Motorcycle 50cc and under,2,1,Petrol,49
Car,5,1,Petrol,1242
Motorcycle 125cc and under,7,1,Petrol,85
Car,3,1,Heavy oil,2688
Car,4,1,Petrol,1396
Car,21,1,Petrol,1297
Car,9,1,Heavy oil,1994
Car,2,1,Heavy oil,1398
Car,2,1,Heavy oil,1995
Car,6,1,Petrol,1599
Car,4,1,Heavy oil,1686
Car,7,1,Petrol,1149
Car,12,1,Petrol,1332
Car,3,1,Petrol,3199
Car,7,1,Petrol,1242
Car,3,1,Petrol,1299
Car,3,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,13,1,Heavy oil,2500
Car,6,1,Petrol,1600
Car,13,1,Petrol,1587
Car,10,1,Petrol,1396
Car,17,1,Petrol,1789
Car,16,1,Petrol,988
Car,14,1,Petrol,1997
Other vehicle,2,1,Heavy oil,6370
Goods 7.5 tonnes mgw and over,2,1,Heavy oil,5880
Car,6,1,Petrol,1398
Car,4,1,Petrol,1996
Goods over 3.5t. and under 7.5t,22,1,Heavy oil,62
Motorcycle over 500cc,4,1,Petrol,892
Car,13,1,Petrol,1118
Car,1,1,Petrol,1587
Car,5,1,Petrol,1598
Car,3,1,Petrol,1299
Motorcycle over 500cc,8,1,Petrol,598
Car,10,1,Petrol,954
Car,5,1,Petrol,1596
Car,5,1,Petrol,1400
Car,1,1,Heavy oil,1995
Car,17,1,Petrol,1997
Car,5,1,Heavy oil,1997
Car,3,1,Heavy oil,1995
Car,8,1,Petrol,1391
Taxi/Private hire car,5,1,Heavy oil,1870
Car,10,1,Petrol,1391
Car,11,1,Petrol,1590
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,9,1,Petrol,1799
Car,11,1,Petrol,2935
Car,12,1,Heavy oil,2260
Car,11,1,Petrol,1343
Car,3,1,Petrol,1796
Car,5,1,Petrol,1199
Car,4,1,Petrol,1598
Car,11,1,Petrol,1836
Car,3,1,Petrol,1769
Car,6,1,Petrol,1998
Car,1,1,Heavy oil,1686
Car,4,1,Petrol,1598
Car,11,1,Petrol,1598
Car,3,1,Petrol,1596
Car,9,1,Petrol,1988
Car,4,1,Petrol,1149
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,4,1,Petrol,1149
Car,9,1,Petrol,1196
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,4,1,Petrol,1360
Motorcycle over 500cc,5,1,Petrol,600
Car,12,1,Petrol,1597
Car,5,1,Petrol,1299
Car,12,1,Heavy oil,1488
Car,12,1,Petrol,1392
Car,6,1,Petrol,1396
Car,16,1,Petrol,1598
Car,4,1,Heavy oil,1997
Car,2,1,Petrol,1124
Car,6,1,Petrol,1598
Car,8,1,Petrol,1994
Car,13,1,Petrol,1597
Car,8,1,Heavy oil,1975
Car,3,1,Petrol,1796
Car,1,1,Petrol,4300
Car,13,1,Petrol,1595
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Van / Goods 3.5 tonnes mgw or under,1,1,Gas/Bi-fuel,2295
Car,2,1,Petrol,1796
Motorcycle over 500cc,8,1,Petrol,749
Car,10,1,Petrol,1124
Car,5,1,Petrol,1242
Car,3,1,Petrol,1998
Car,7,1,Heavy oil,1900
Car,9,1,Petrol,2156
Car,7,1,Petrol,1360
Car,1,1,Petrol,1984
Bus or coach (17 or more pass seats),3,1,Heavy oil,9200
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,11000
Taxi/Private hire car,1,1,Heavy oil,2402
Car,14,1,Petrol,2438
Car,3,1,Heavy oil,2401
Car,6,1,Petrol,1895
Motorcycle 125cc and under,14,1,Petrol,85
Car,12,1,Petrol,1396
Car,7,1,Petrol,1242
Car,7,1,Petrol,1762
Car,9,1,Petrol,1242
Car,7,1,Petrol,3378
Car,6,1,Petrol,1587
Car,3,1,Petrol,1390
Motorcycle 125cc and under,3,1,Petrol,124
Car,1,1,Petrol,1995
Bus or coach (17 or more pass seats),3,1,Heavy oil,5883
Car,3,1,Heavy oil,1716
Car,1,1,Petrol,1360
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,9,1,Heavy oil,2200
Car,4,1,Heavy oil,1995
Car,13,1,Petrol,1905
Car,14,1,Petrol,2000
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,2,1,Petrol,1598
Car,9,1,Petrol,1299
Car,4,1,Heavy oil,1896
Motorcycle 50cc and under,6,1,Petrol,49
Car,7,1,Petrol,1796
Car,3,1,Petrol,1390
Motorcycle 125cc and under,3,1,Petrol,124
Car,13,1,Petrol,1272
Van / Goods 3.5 tonnes mgw or under,9,1,Petrol,2438
Car,5,1,Petrol,1679
Bus or coach (17 or more pass seats),2,1,Heavy oil,3900
Car,8,1,Petrol,3960
Car,6,1,Petrol,1596
Taxi/Private hire car,12,1,Heavy oil,2664
Car,8,1,Petrol,1590
Car,15,1,Petrol,1990
Motorcycle 125cc and under,9,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1769
Car,8,1,Petrol,1390
Car,8,1,Petrol,1149
Car,12,1,Petrol,1984
Goods 7.5 tonnes mgw and over,1,1,Heavy oil,12000
Car,11,1,Petrol,1597
Motorcycle over 500cc,2,1,Petrol,599
Motorcycle over 125cc and up to 500cc,5,1,Petrol,500
Car,6,1,Petrol,1762
Car,12,1,Petrol,1590
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2402
Car,9,1,Petrol,1392
Car,15,1,Petrol,3430
Motorcycle over 500cc,10,1,Petrol,893
Car,8,1,Petrol,1598
Goods 7.5 tonnes mgw and over,3,1,Heavy oil,5480
Car,7,1,Petrol,1998
Car,3,1,Petrol,1390
Car,18,1,Heavy oil,1598
Car,3,1,Petrol,1599
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,5,1,Heavy oil,1896
Motorcycle 125cc and under,4,1,Petrol,124
Car,9,1,Petrol,1598
Car,7,1,Petrol,3996
Motorcycle over 500cc,9,1,Petrol,599
Car,13,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2459
Car,4,1,Heavy oil,1995
Car,7,1,Petrol,1796
Motorcycle over 500cc,7,1,Petrol,748
Car,8,1,Petrol,1581
Car,10,1,Petrol,1796
Car,13,1,Petrol,1580
Taxi/Private hire car,7,1,Heavy oil,2664
Car,3,1,Heavy oil,1995
Bus or coach (17 or more pass seats),3,1,Heavy oil,5883
Car,1,1,Petrol,1598
Car,4,1,Petrol,1595
Car,2,1,Heavy oil,1991
Car,9,1,Petrol,1781
Car,9,1,Petrol,1370
Car,11,1,Petrol,2000
Car,2,1,Petrol,1998
Motorcycle over 500cc,6,1,Petrol,998
Car,8,1,Petrol,1998
Car,14,1,Petrol,2000
Motorcycle over 500cc,12,1,Petrol,553
Motorcycle over 500cc,8,1,Petrol,599
Car,13,1,Petrol,1390
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1998
Motorcycle over 500cc,7,1,Petrol,800
Motorcycle 125cc and under,3,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,102
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,10,1,Petrol,1389
Car,1,1,Petrol,1149
Car,8,1,Petrol,1598
Motorcycle 125cc and under,9,1,Petrol,85
Bus or coach (17 or more pass seats),5,1,Heavy oil,9600
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,5,1,Petrol,1988
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1753
Car,7,1,Petrol,1799
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,1870
Other vehicle,7,1,Heavy oil,2496
Bus or coach (17 or more pass seats),6,1,Heavy oil,8300
Car,16,1,Petrol,1990
Motorcycle over 500cc,2,1,Petrol,599
Car,5,1,Petrol,1599
Car,1,1,Petrol,1199
Car,8,1,Petrol,2295
Car,12,1,Petrol,1299
Car,9,1,Petrol,1596
Car,7,1,Petrol,1299
Car,8,1,Petrol,1598
Motorcycle 125cc and under,2,1,Petrol,125
Car,5,1,Petrol,999
Car,10,1,Petrol,1799
Car,8,1,Petrol,1996
Motorcycle 50cc and under,1,1,Petrol,49
Car,6,1,Petrol,1985
Motorcycle 50cc and under,1,1,Petrol,49
Motorcycle 125cc and under,1,1,Petrol,125
Car,4,1,Petrol,2362
Car,6,1,Petrol,1299
