Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Motorcycle over 500cc,14,1,Petrol,600
Car,3,1,Heavy oil,1995
Goods 7.5 tonnes mgw and over,4,1,Heavy oil,12130
Car,5,1,Petrol,1998
Car,11,1,Petrol,1796
Car,8,1,Petrol,1595
Motorcycle 125cc and under,1,1,Petrol,124
Bus or coach (17 or more pass seats),2,1,Heavy oil,9200
Car,8,1,Petrol,1587
Car,7,1,Petrol,1370
Car,8,1,Petrol,2435
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle over 500cc,20,1,Petrol,738
Car,4,1,Petrol,1199
Car,9,1,Petrol,1598
Motorcycle 125cc and under,1,1,Petrol,124
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,11,1,Petrol,1396
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,5,1,Petrol,1850
Car,8,1,Petrol,1599
Car,14,1,Petrol,1117
Car,9,1,Petrol,1996
Car,3,1,Heavy oil,1753
Car,5,1,Petrol,1360
Car,10,1,Petrol,1587
Car,4,1,Petrol,1598
Motorcycle 125cc and under,2,1,Petrol,124
Car,7,1,Petrol,998
Motorcycle 125cc and under,7,1,Petrol,124
Car,9,1,Petrol,1590
Car,9,1,Petrol,1590
Car,10,1,Heavy oil,1905
Car,6,1,Heavy oil,2497
Motorcycle 125cc and under,9,1,Petrol,124
Motorcycle 125cc and under,1,1,Petrol,124
Car,10,1,Petrol,1796
Car,1,1,Petrol,1598
Car,7,1,Petrol,1242
Motorcycle over 500cc,2,1,Petrol,599
Car,8,1,Petrol,1796
Car,3,1,Petrol,1796
Car,7,1,Heavy oil,1998
Car,7,1,Petrol,1242
Car,12,1,Petrol,1495
Car,12,1,Petrol,1984
Car,2,1,Petrol,1796
Car,8,1,Heavy oil,2088
Car,6,1,Petrol,1590
Car,12,1,Petrol,1196
Motorcycle 50cc and under,3,1,Petrol,49
Motorcycle 50cc and under,3,1,Petrol,49
Car,13,1,Petrol,1998
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,4,1,Petrol,2295
Car,8,1,Petrol,2497
Motorcycle 125cc and under,4,1,Petrol,85
Car,3,1,Petrol,2597
Car,5,1,Petrol,3301
Car,9,1,Petrol,1493
Car,9,1,Petrol,1493
Car,9,1,Petrol,1493
Motorcycle over 500cc,14,1,Petrol,1200
Car,4,1,Heavy oil,1896
Car,1,1,Petrol,1598
Motorcycle over 500cc,4,1,Petrol,645
Car,2,1,Petrol,1598
Car,4,1,Heavy oil,2148
Motorcycle 125cc and under,4,1,Petrol,124
Car,3,1,Heavy oil,1997
Motorcycle over 500cc,5,1,Petrol,1250
Car,8,1,Petrol,1762
Motorcycle 50cc and under,4,1,Petrol,49
Motorcycle 125cc and under,6,1,Petrol,124
Car,4,1,Heavy oil,1995
Car,8,1,Petrol,1597
Car,9,1,Petrol,1997
Motorcycle 50cc and under,3,1,Petrol,49
Car,6,1,Heavy oil,2151
Motorcycle 125cc and under,2,1,Petrol,125
Motorcycle 125cc and under,9,1,Petrol,85
Motorcycle 125cc and under,6,1,Petrol,124
Motorcycle 125cc and under,39,1,Petrol,123
Car,16,1,Petrol,1392
Car,4,1,Heavy oil,1997
Bus or coach (17 or more pass seats),6,1,Heavy oil,5900
Car,9,1,Petrol,1761
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle 125cc and under,1,1,Petrol,102
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,4,1,Petrol,1199
Car,4,1,Petrol,1199
Car,8,1,Petrol,1984
Motorcycle over 500cc,2,1,Petrol,599
Motorcycle over 500cc,7,1,Petrol,885
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Car,12,1,Petrol,1590
Car,12,1,Petrol,1794
Car,4,1,Petrol,1360
Car,4,1,Heavy oil,1686
Car,1,1,Petrol,1598
Car,10,1,Heavy oil,2155
Car,10,1,Petrol,1762
Car,8,1,Petrol,1998
Car,8,1,Petrol,1998
Car,3,1,Petrol,1598
Car,7,1,Petrol,1124
Car,20,1,Petrol,3528
Car,9,1,Petrol,1119
Car,3,1,Petrol,1584
Motorcycle 125cc and under,8,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,647
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2402
Car,12,1,Petrol,1796
Taxi/Private hire car,3,1,Heavy oil,2402
Taxi/Private hire car,3,1,Heavy oil,2402
Motorcycle over 500cc,2,1,Petrol,645
Motorcycle over 500cc,2,1,Petrol,645
Car,12,1,Petrol,1800
Car,12,1,Petrol,1800
Goods 7.5 tonnes mgw and over,4,1,Heavy oil,4116
Car,3,1,Heavy oil,1994
Motorcycle 50cc and under,6,1,Petrol,49
Car,8,1,Heavy oil,1686
Car,1,1,Petrol,1595
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,9,1,Petrol,1299
Car,13,1,Petrol,1985
Car,6,1,Petrol,1597
Car,6,1,Petrol,1597
Motorcycle 125cc and under,6,1,Petrol,124
Car,10,1,Petrol,2975
Motorcycle 125cc and under,3,1,Petrol,85
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,4,1,Petrol,1796
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle 50cc and under,5,1,Petrol,49
Motorcycle 125cc and under,1,1,Petrol,124
Car,9,1,Petrol,1391
Car,15,1,Petrol,999
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Motorcycle 125cc and under,10,1,Petrol,124
Car,4,1,Petrol,1124
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,1,1,Petrol,1798
Motorcycle over 500cc,7,1,Petrol,749
Car,12,1,Petrol,899
Car,6,1,Petrol,2157
Taxi/Private hire car,1,1,Heavy oil,2402
Car,11,1,Heavy oil,1870
Goods over 3.5t. and under 7.5t,1,1,Heavy oil,3920
Car,3,1,Petrol,599
Car,12,1,Petrol,1796
Motorcycle 50cc and under,3,1,Petrol,49
Car,10,1,Petrol,1597
Car,13,1,Petrol,1590
Car,6,1,Petrol,1598
Car,8,1,Heavy oil,1994
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2446
Car,7,1,Petrol,1396
Car,5,1,Petrol,1796
Car,4,1,Petrol,1360
Car,4,1,Petrol,1360
Car,7,1,Petrol,1997
Car,13,1,Petrol,1998
Car,3,1,Petrol,1299
Motorcycle over 125cc and up to 500cc,14,1,Petrol,398
Motorcycle over 500cc,5,1,Petrol,904
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,1870
Car,3,1,Petrol,1198
Car,4,1,Heavy oil,1896
Motorcycle 125cc and under,6,1,Petrol,89
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle over 500cc,6,1,Petrol,996
Motorcycle over 500cc,6,1,Petrol,996
Car,11,1,Petrol,1799
Motorcycle 125cc and under,1,1,Petrol,124
Car,11,1,Petrol,998
Car,11,1,Petrol,998
Car,2,1,Heavy oil,1399
Car,4,1,Heavy oil,1896
Car,13,1,Petrol,1997
Motorcycle 50cc and under,2,1,Petrol,49
Car,5,1,Petrol,1998
Car,8,1,Petrol,1998
Car,11,1,Petrol,1587
Car,9,1,Petrol,1242
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle over 500cc,2,1,Petrol,998
Car,2,1,Petrol,2354
Car,11,1,Petrol,1597
Motorcycle over 500cc,11,1,Petrol,553
Motorcycle over 500cc,3,1,Petrol,1199
Car,6,1,Petrol,1289
Motorcycle 125cc and under,41,1,Petrol,125
Motorcycle over 500cc,4,1,Petrol,998
Car,8,1,Petrol,1731
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,5,1,Petrol,1298
Motorcycle over 500cc,2,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2400
Car,12,1,Petrol,1119
Car,2,1,Petrol,1596
Car,6,1,Petrol,1998
Car,5,1,Petrol,1600
Car,5,1,Petrol,1895
Car,9,1,Petrol,1599
Car,10,1,Petrol,2793
Motorcycle over 500cc,6,1,Petrol,1085
Motorcycle over 500cc,6,1,Petrol,1085
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Motorcycle over 125cc and up to 500cc,11,1,Petrol,499
Motorcycle 125cc and under,1,1,Petrol,125
Car,9,1,Petrol,1731
Car,4,1,Petrol,2362
Motorcycle over 500cc,4,1,Petrol,1250
Motorcycle over 500cc,1,1,Petrol,599
Motorcycle 125cc and under,3,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,10,1,Heavy oil,2384
Motorcycle 125cc and under,24,1,Petrol,125
Car,10,1,Petrol,1597
Car,11,1,Petrol,1596
Van / Goods 3.5 tonnes mgw or under,2,1,Petrol,5700
Car,4,1,Heavy oil,2495
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Car,5,1,Petrol,1598
Car,10,1,Heavy oil,1753
Car,4,1,Petrol,1895
Car,4,1,Petrol,1895
Car,5,1,Petrol,1796
Motorcycle over 500cc,2,1,Petrol,919
Car,8,1,Petrol,1998
Bus or coach (17 or more pass seats),6,1,Heavy oil,5900
Car,9,1,Petrol,1769
Car,10,1,Heavy oil,2068
Motorcycle 125cc and under,6,1,Petrol,124
Car,12,1,Petrol,1392
Car,2,1,Petrol,1397
Car,7,1,Petrol,2295
Car,1,1,Heavy oil,1896
Car,8,1,Petrol,1242
Car,12,1,Petrol,1493
Car,12,1,Petrol,1493
Motorcycle 50cc and under,3,1,Petrol,49
Car,2,1,Petrol,1596
Car,2,1,Petrol,1598
Car,8,1,Petrol,998
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Car,10,1,Petrol,1360
Car,4,1,Petrol,2198
Car,6,1,Petrol,1596
Motorcycle 125cc and under,9,1,Petrol,85
Car,3,1,Petrol,1796
Car,7,1,Heavy oil,1700
Car,8,1,Petrol,1242
Car,4,1,Petrol,2979
Car,4,1,Petrol,2979
Motorcycle 50cc and under,4,1,Petrol,49
Car,12,1,Petrol,1998
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,15,1,Petrol,2494
Car,6,1,Petrol,1796
Taxi/Private hire car,11,1,Petrol,1996
Motorcycle 125cc and under,10,1,Petrol,124
Bus or coach (17 or more pass seats),2,1,Heavy oil,3900
Car,10,1,Heavy oil,1994
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1998
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,10,1,Petrol,998
Car,10,1,Petrol,998
Car,12,1,Petrol,1796
Car,12,1,Petrol,1796
Car,12,1,Petrol,1796
Car,12,1,Petrol,1796
Motorcycle over 500cc,9,1,Petrol,599
Car,9,1,Petrol,1598
Car,8,1,Petrol,1598
Car,11,1,Heavy oil,1800
Car,5,1,Petrol,1298
Car,5,1,Petrol,1298
Car,1,1,Heavy oil,1461
Motorcycle over 125cc and up to 500cc,4,1,Petrol,499
Car,5,1,Petrol,1998
Car,5,1,Petrol,1800
Car,6,1,Petrol,1796
Car,6,1,Petrol,1796
Car,1,1,Petrol,1390
Motorcycle 125cc and under,1,1,Petrol,125
Car,5,1,Petrol,1598
Motorcycle over 500cc,1,1,Petrol,749
Car,5,1,Petrol,1794
Car,7,1,Petrol,1390
Motorcycle over 500cc,1,1,Petrol,996
Car,6,1,Petrol,1800
Van / Goods 3.5 tonnes mgw or under,17,1,Heavy oil,2496
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,15,1,Petrol,1235
Van / Goods 3.5 tonnes mgw or under,11,1,Heavy oil,2496
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle over 500cc,15,1,Petrol,599
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,9,1,Petrol,1596
Car,7,1,Heavy oil,1896
Car,7,1,Heavy oil,1896
Motorcycle over 500cc,4,1,Petrol,599
Car,7,1,Petrol,1332
Car,13,1,Petrol,1498
Car,8,1,Petrol,998
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,2,1,Petrol,1242
Car,9,1,Petrol,1598
Motorcycle over 500cc,7,1,Petrol,599
Motorcycle 125cc and under,5,1,Petrol,125
Car,11,1,Petrol,1118
Car,4,1,Petrol,998
Car,6,1,Petrol,796
Car,1,1,Heavy oil,2926
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Taxi/Private hire car,8,1,Heavy oil,2664
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,9,1,Petrol,2497
Car,11,1,Petrol,1499
Car,11,1,Petrol,1998
Car,11,1,Petrol,1389
Car,9,1,Heavy oil,1896
Car,7,1,Petrol,1985
Car,7,1,Petrol,1985
Car,4,1,Petrol,973
Car,6,1,Petrol,1998
Car,2,1,Petrol,1390
Car,10,1,Petrol,1998
Car,8,1,Heavy oil,1700
Car,7,1,Petrol,1299
Car,2,1,Petrol,1796
Car,3,1,Petrol,1596
Car,2,1,Petrol,998
Car,8,1,Petrol,1597
Car,8,1,Petrol,1275
Car,7,1,Petrol,1598
Car,4,1,Petrol,1390
Car,1,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2402
Motorcycle 125cc and under,6,1,Petrol,125
Car,6,1,Petrol,1390
Motorcycle over 125cc and up to 500cc,5,1,Petrol,244
Motorcycle over 125cc and up to 500cc,6,1,Petrol,176
Motorcycle over 125cc and up to 500cc,6,1,Petrol,176
Car,5,1,Petrol,2967
Car,2,1,Petrol,1242
Car,2,1,Petrol,1242
Motorcycle over 500cc,8,1,Petrol,553
Motorcycle 125cc and under,3,1,Petrol,124
Car,5,1,Petrol,1299
Car,12,1,Petrol,899
Motorcycle over 500cc,1,1,Petrol,599
Car,7,1,Petrol,1495
Car,2,1,Petrol,1596
Motorcycle over 125cc and up to 500cc,5,1,Petrol,499
Car,11,1,Petrol,2494
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Car,9,1,Petrol,1389
Car,9,1,Petrol,1389
Car,7,1,Petrol,1998
Car,18,1,Petrol,1997
Motorcycle 125cc and under,18,1,Petrol,85
Car,6,1,Petrol,998
Car,13,1,Petrol,1781
Motorcycle over 500cc,4,1,Petrol,600
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,14,1,Petrol,1272
Car,8,1,Petrol,1762
Car,11,1,Petrol,1389
Car,6,1,Petrol,1997
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Motorcycle 125cc and under,1,1,Petrol,124
Car,5,1,Petrol,999
Car,15,1,Petrol,1043
Car,11,1,Petrol,1493
Motorcycle over 500cc,3,1,Petrol,599
Taxi/Private hire car,8,1,Heavy oil,2664
Motorcycle 50cc and under,1,1,Petrol,49
Other vehicle,1,1,Heavy oil,2686
Motorcycle over 125cc and up to 500cc,15,1,Petrol,498
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2402
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2402
Car,9,1,Petrol,3960
Car,10,1,Petrol,1341
Car,8,1,Petrol,1390
Car,9,1,Petrol,1587
Motorcycle over 500cc,8,1,Petrol,599
Car,8,1,Petrol,1762
Car,9,1,Petrol,1997
Car,7,1,Petrol,1796
Car,3,1,Petrol,998
Car,8,1,Petrol,1195
Car,5,1,Petrol,1242
Car,8,1,Petrol,1998
Car,8,1,Petrol,1998
Car,4,1,Petrol,1596
Motorcycle 125cc and under,3,1,Petrol,125
Car,5,1,Petrol,2498
Car,5,1,Petrol,2498
Car,3,1,Heavy oil,1995
Car,3,1,Heavy oil,2499
Car,10,1,Petrol,1242
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1686
Motorcycle 125cc and under,3,1,Petrol,125
Car,23,1,Petrol,1588
Car,4,1,Petrol,998
Car,9,1,Petrol,1390
Car,10,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2299
Car,8,1,Heavy oil,1896
Car,3,1,Petrol,1781
Car,2,1,Heavy oil,1689
Car,2,1,Heavy oil,1689
Motorcycle over 500cc,14,1,Petrol,535
Car,7,1,Petrol,998
Car,7,1,Petrol,998
Car,16,1,Petrol,1598
Car,10,1,Heavy oil,1896
Car,5,1,Petrol,1762
Motorcycle over 500cc,6,1,Petrol,849
Motorcycle 125cc and under,8,1,Petrol,85
Car,8,1,Petrol,1108
Motorcycle over 125cc and up to 500cc,6,1,Petrol,499
Car,10,1,Petrol,1598
Car,11,1,Heavy oil,1753
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,2,1,Petrol,1598
Car,4,1,Petrol,1124
Car,14,1,Petrol,1597
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,5,1,Petrol,1973
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Motorcycle 125cc and under,2,1,Petrol,125
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Goods 7.5 tonnes mgw and over,2,1,Heavy oil,5900
Motorcycle 50cc and under,2,1,Petrol,49
Motorcycle 125cc and under,13,1,Petrol,79
Car,7,1,Petrol,1598
Car,7,1,Petrol,1796
Car,2,1,Petrol,993
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1461
Car,9,1,Petrol,2164
Car,9,1,Petrol,2164
Car,9,1,Petrol,2164
Car,3,1,Petrol,1794
Car,6,1,Petrol,1349
Car,9,1,Petrol,1390
Car,2,1,Petrol,1984
Car,11,1,Petrol,1783
Car,11,1,Petrol,1783
Motorcycle 125cc and under,11,1,Petrol,124
Car,14,1,Petrol,1196
Car,7,1,Petrol,1998
Car,6,1,Heavy oil,1994
Car,8,1,Petrol,1761
Car,7,1,Petrol,1998
Car,3,1,Petrol,1997
Car,4,1,Petrol,998
Motorcycle 125cc and under,14,1,Petrol,85
Car,10,1,Petrol,1998
Car,11,1,Petrol,1597
Motorcycle over 125cc and up to 500cc,6,1,Petrol,250
Car,5,1,Petrol,1242
Car,15,1,Petrol,988
Motorcycle over 500cc,7,1,Petrol,599
Motorcycle over 500cc,14,1,Petrol,749
Motorcycle over 500cc,14,1,Petrol,749
Car,9,1,Petrol,1799
Car,9,1,Petrol,1498
Car,9,1,Petrol,1498
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,599
Motorcycle 125cc and under,7,1,Petrol,124
Car,15,1,Petrol,1598
Car,6,1,Petrol,1796
Car,6,1,Petrol,999
Car,8,1,Petrol,1762
Car,4,1,Petrol,998
Car,4,1,Petrol,998
Car,4,1,Petrol,998
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Motorcycle over 500cc,1,1,Petrol,1137
Motorcycle 125cc and under,7,1,Petrol,85
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Motorcycle over 500cc,4,1,Petrol,599
Taxi/Private hire car,14,1,Heavy oil,2664
Car,4,1,Petrol,1796
Car,10,1,Petrol,1299
Car,10,1,Petrol,1299
Motorcycle 125cc and under,4,1,Petrol,124
Car,5,1,Petrol,1598
Motorcycle 125cc and under,5,1,Petrol,85
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Car,3,1,Petrol,1149
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,10,1,Petrol,1043
Car,7,1,Petrol,1242
Car,7,1,Petrol,1998
Car,9,1,Petrol,1839
Car,7,1,Petrol,1396
Car,7,1,Petrol,1396
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle over 500cc,4,1,Petrol,599
Motorcycle 125cc and under,1,1,Petrol,124
Car,15,1,Petrol,3430
Motorcycle over 500cc,7,1,Petrol,1340
Car,9,1,Petrol,1370
Car,9,1,Petrol,1988
Car,9,1,Petrol,1988
Car,7,1,Petrol,1396
Car,7,1,Petrol,1998
Car,10,1,Petrol,2799
Motorcycle over 500cc,3,1,Petrol,599
Car,5,1,Petrol,2157
Car,4,1,Petrol,2295
Motorcycle 50cc and under,2,1,Petrol,49
Motorcycle over 500cc,1,1,Petrol,998
Motorcycle over 500cc,10,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2496
Motorcycle over 500cc,7,1,Petrol,900
Car,12,1,Petrol,1994
Car,12,1,Petrol,1994
Motorcycle over 500cc,8,1,Petrol,1002
Car,9,1,Petrol,1783
Car,9,1,Petrol,1783
Car,8,1,Petrol,1994
Motorcycle over 125cc and up to 500cc,6,1,Petrol,499
Car,10,1,Petrol,1396
Car,15,1,Petrol,1998
Car,4,1,Petrol,1149
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,2184
Car,6,1,Petrol,1597
Car,6,1,Petrol,1597
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Motorcycle over 500cc,6,1,Petrol,599
Car,5,1,Petrol,1794
Motorcycle 125cc and under,4,1,Petrol,124
Minibus (8 - 16 passenger seats),1,1,Heavy oil,3920
Car,8,1,Petrol,1781
Car,12,1,Petrol,1597
Car,1,1,Petrol,698
Car,5,1,Petrol,1796
Car,13,1,Petrol,1493
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle over 500cc,2,1,Petrol,782
Car,4,1,Petrol,1390
Car,4,1,Petrol,1390
Car,10,1,Petrol,1994
Car,1,1,Petrol,1199
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,12,1,Petrol,1043
Car,8,1,Petrol,1762
Car,7,1,Petrol,1896
Taxi/Private hire car,9,1,Heavy oil,2664
Taxi/Private hire car,9,1,Heavy oil,2664
Car,8,1,Petrol,1396
Car,7,1,Petrol,1390
Car,7,1,Petrol,1390
Car,9,1,Petrol,1124
Car,9,1,Petrol,1124
Car,6,1,Petrol,1998
Car,9,1,Petrol,1796
Car,3,1,Heavy oil,2179
Car,6,1,Petrol,1199
Car,11,1,Petrol,1490
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,3920
Car,5,1,Petrol,1598
Car,7,1,Petrol,1799
Car,7,1,Heavy oil,1870
Car,3,1,Petrol,599
Motorcycle over 500cc,6,1,Petrol,996
Motorcycle over 125cc and up to 500cc,2,1,Petrol,499
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2179
Car,10,1,Petrol,2793
Car,9,1,Petrol,1242
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Car,11,1,Petrol,1119
Car,3,1,Petrol,1598
Car,6,1,Petrol,2997
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,10000
Car,6,1,Petrol,1587
Motorcycle over 125cc and up to 500cc,11,1,Petrol,398
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Taxi/Private hire car,3,1,Heavy oil,2664
Car,9,1,Heavy oil,1527
Car,8,1,Petrol,1781
Motorcycle 125cc and under,9,1,Petrol,85
Car,5,1,Petrol,1587
Car,8,1,Petrol,1299
Car,3,1,Petrol,1199
Motorcycle over 125cc and up to 500cc,10,1,Petrol,410
Motorcycle 125cc and under,6,1,Petrol,124
Car,7,1,Petrol,1998
Car,8,1,Petrol,993
Car,8,1,Petrol,993
Car,8,1,Petrol,1299
Car,7,1,Petrol,1781
Motorcycle over 500cc,6,1,Petrol,749
Car,1,1,Petrol,1998
Car,4,1,Petrol,1984
Car,1,1,Heavy oil,1461
Motorcycle over 125cc and up to 500cc,10,1,Petrol,1340
Motorcycle over 125cc and up to 500cc,10,1,Petrol,1340
Car,13,1,Petrol,1390
Motorcycle over 500cc,6,1,Petrol,1085
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2496
Motorcycle over 500cc,6,1,Petrol,599
Motorcycle over 500cc,6,1,Petrol,742
Car,9,1,Petrol,1391
Motorcycle 125cc and under,1,1,Petrol,124
Car,6,1,Petrol,1199
Car,1,1,Petrol,1149
Car,5,1,Petrol,1400
Motorcycle over 500cc,6,1,Petrol,599
Motorcycle over 500cc,6,1,Petrol,599
Car,4,1,Petrol,1596
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle over 125cc and up to 500cc,15,1,Petrol,400
Taxi/Private hire car,7,1,Heavy oil,2664
Car,2,1,Petrol,1149
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1686
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1686
Motorcycle over 500cc,3,1,Petrol,599
Car,8,1,Petrol,1762
Car,9,1,Petrol,1998
Car,10,1,Heavy oil,1896
Car,5,1,Petrol,1794
Motorcycle 125cc and under,2,1,Petrol,125
Car,3,1,Petrol,2198
Car,3,1,Petrol,2198
Car,3,1,Petrol,2198
Car,15,1,Petrol,1781
Car,13,1,Petrol,1998
Motorcycle 125cc and under,11,1,Petrol,124
Car,14,1,Petrol,1396
Car,10,1,Petrol,1800
Car,9,1,Heavy oil,1665
Car,10,1,Petrol,1360
Car,6,1,Petrol,1587
Car,12,1,Petrol,1119
Motorcycle 125cc and under,1,1,Petrol,125
Car,10,1,Petrol,2199
Goods over 3.5t. and under 7.5t,1,1,Heavy oil,2800
Car,11,1,Petrol,1493
Car,5,1,Heavy oil,1870
Car,4,1,Petrol,1596
Car,10,1,Petrol,1360
Car,10,1,Petrol,1360
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Car,2,1,Petrol,1390
Motorcycle over 500cc,2,1,Petrol,649
Car,7,1,Petrol,1994
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2496
Motorcycle 125cc and under,34,1,Petrol,49
Car,5,1,Petrol,1998
Motorcycle over 125cc and up to 500cc,2,1,Petrol,459
Car,12,1,Petrol,998
Car,9,1,Petrol,1370
Car,9,1,Petrol,1370
Car,1,1,Petrol,998
Car,6,1,Petrol,1598
Minibus (8 - 16 passenger seats),1,1,Heavy oil,3920
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1870
Car,8,1,Petrol,1598
Motorcycle 50cc and under,6,1,Petrol,49
Motorcycle over 500cc,6,1,Petrol,781
Car,14,1,Petrol,2438
Motorcycle over 500cc,1,1,Petrol,599
Car,7,1,Petrol,1597
Car,14,1,Petrol,1588
Car,6,1,Petrol,1731
Motorcycle over 500cc,2,1,Petrol,649
Car,1,1,Heavy oil,1951
Car,1,1,Heavy oil,1951
Car,1,1,Heavy oil,1951
Car,9,1,Petrol,1396
Car,9,1,Petrol,1396
Motorcycle 125cc and under,4,1,Petrol,125
Car,8,1,Petrol,1799
Motorcycle 125cc and under,4,1,Petrol,125
Car,10,1,Heavy oil,1905
Motorcycle over 500cc,6,1,Petrol,598
Motorcycle 125cc and under,5,1,Petrol,49
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,1900
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,1900
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,1900
Car,14,1,Petrol,2309
Motorcycle over 500cc,4,1,Petrol,738
Motorcycle 125cc and under,4,1,Petrol,124
Car,14,1,Heavy oil,2500
Car,1,1,Petrol,1149
Car,7,1,Petrol,1242
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2496
Car,8,1,Petrol,3301
Van / Goods 3.5 tonnes mgw or under,5,1,Heavy oil,2800
Car,7,1,Petrol,1997
Car,4,1,Petrol,796
Motorcycle 125cc and under,1,1,Petrol,102
Car,1,1,Heavy oil,1900
Car,4,1,Petrol,1299
Car,10,1,Petrol,1360
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Motorcycle over 500cc,3,1,Petrol,599
Motorcycle over 500cc,2,1,Petrol,955
Motorcycle over 500cc,6,1,Petrol,1085
Car,10,1,Heavy oil,1800
Motorcycle 125cc and under,3,1,Petrol,125
Car,8,1,Heavy oil,1905
Motorcycle 125cc and under,1,1,Petrol,124
