Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
Motorcycle over 500cc,2,1,Petrol,599
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle over 500cc,6,1,Petrol,645
Car,7,1,Petrol,2438
Car,1,1,Heavy oil,1997
Taxi/Private hire car,7,1,Heavy oil,2664
Car,2,1,Petrol,1598
Motorcycle over 500cc,1,1,Petrol,1130
Car,11,1,Petrol,1596
Motorcycle over 500cc,9,1,Petrol,599
Motorcycle over 500cc,9,1,Petrol,1188
Taxi/Private hire car,5,1,Heavy oil,2664
Taxi/Private hire car,14,1,Heavy oil,2664
Car,11,1,Petrol,1834
Car,16,1,Petrol,1235
Motorcycle 125cc and under,6,1,Petrol,124
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle over 500cc,4,1,Petrol,599
Motorcycle 125cc and under,3,1,Petrol,125
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Motorcycle 125cc and under,1,1,Petrol,124
Motorcycle 125cc and under,1,1,Petrol,124
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,582
Car,9,1,Petrol,1747
Car,14,1,Petrol,1124
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Motorcycle 50cc and under,3,1,Petrol,50
Bus or coach (17 or more pass seats),3,1,Heavy oil,4250
Motorcycle over 500cc,10,1,Petrol,1084
Motorcycle over 500cc,1,1,Petrol,1171
Car,1,1,Petrol,2494
Bus or coach (17 or more pass seats),5,1,Heavy oil,8300
Motorcycle 125cc and under,4,1,Petrol,125
Motorcycle 50cc and under,2,1,Petrol,49
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1997
Motorcycle over 500cc,1,1,Petrol,599
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle 50cc and under,1,1,Petrol,49
Car,4,1,Petrol,1596
Motorcycle over 500cc,1,1,Petrol,984
Car,10,1,Petrol,2598
Car,5,1,Petrol,973
Motorcycle over 500cc,1,1,Petrol,955
Taxi/Private hire car,5,1,Heavy oil,2664
Car,11,1,Petrol,1597
Motorcycle over 500cc,3,1,Petrol,582
Motorcycle 125cc and under,9,1,Petrol,124
Car,1,1,Heavy oil,2982
Car,13,1,Petrol,2000
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle 125cc and under,7,1,Petrol,124
Car,4,1,Petrol,1834
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Car,6,1,Petrol,1581
Car,5,1,Heavy oil,1998
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,1,1,Petrol,1598
Motorcycle over 500cc,4,1,Petrol,599
Motorcycle 125cc and under,4,1,Petrol,124
Car,10,1,Heavy oil,1753
Car,2,1,Heavy oil,1686
Car,2,1,Heavy oil,1686
Car,2,1,Petrol,1242
Car,2,1,Petrol,3199
Motorcycle 50cc and under,6,1,Petrol,49
Car,7,1,Petrol,1390
Car,3,1,Petrol,1598
Motorcycle over 500cc,5,1,Petrol,599
Car,5,1,Petrol,1390
Car,3,1,Petrol,4966
Motorcycle 50cc and under,5,1,Petrol,50
Motorcycle 125cc and under,11,1,Petrol,124
Taxi/Private hire car,10,1,Heavy oil,2664
Motorcycle over 500cc,27,1,Petrol,1116
Car,2,1,Heavy oil,2496
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,7,1,Petrol,3239
Car,7,1,Petrol,3239
Car,3,1,Petrol,1124
Car,5,1,Petrol,1596
Car,7,1,Petrol,1389
Motorcycle over 500cc,3,1,Petrol,1084
Taxi/Private hire car,1,1,Petrol,2362
Car,6,1,Petrol,1124
Motorcycle 125cc and under,1,1,Petrol,124
Van / Goods 3.5 tonnes mgw or under,7,1,Petrol,1753
Motorcycle over 500cc,3,1,Petrol,900
Taxi/Private hire car,11,1,Petrol,3947
Motorcycle 125cc and under,7,1,Petrol,124
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Taxi/Private hire car,4,1,Heavy oil,2664
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,10,1,Petrol,1391
Car,4,1,Heavy oil,1896
Motorcycle 125cc and under,1,1,Petrol,124
Motorcycle over 500cc,7,1,Petrol,955
Car,11,1,Petrol,1396
Motorcycle 125cc and under,7,1,Petrol,85
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle 125cc and under,2,1,Petrol,125
Motorcycle over 500cc,7,1,Petrol,800
Motorcycle over 500cc,7,1,Petrol,800
Car,5,1,Petrol,1390
Car,5,1,Petrol,1390
Motorcycle 50cc and under,3,1,Petrol,49
Car,9,1,Petrol,1998
Motorcycle over 500cc,12,1,Petrol,553
Car,6,1,Petrol,1998
Car,2,1,Petrol,1200
Motorcycle over 500cc,13,1,Petrol,652
Car,10,1,Petrol,1596
Car,5,1,Petrol,2494
Motorcycle 125cc and under,2,1,Petrol,125
Car,2,1,Heavy oil,1896
Car,2,1,Heavy oil,1896
Motorcycle 125cc and under,4,1,Petrol,100
Motorcycle over 500cc,7,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1997
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,4580
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1686
Motorcycle 125cc and under,1,1,Petrol,125
Van / Goods 3.5 tonnes mgw or under,5,1,Petrol,1968
Motorcycle 125cc and under,6,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,625
Motorcycle over 500cc,2,1,Petrol,998
Car,2,1,Petrol,1598
Car,3,1,Petrol,1595
Car,3,1,Petrol,1595
Bus or coach (17 or more pass seats),3,1,Heavy oil,5883
Car,3,1,Petrol,1783
Motorcycle 50cc and under,3,1,Petrol,49
Car,9,1,Petrol,1781
Motorcycle over 500cc,20,1,Petrol,948
Car,1,1,Petrol,1998
Car,5,1,Petrol,2793
Car,5,1,Petrol,2793
Motorcycle 125cc and under,3,1,Petrol,124
Car,4,1,Petrol,1970
Taxi/Private hire car,10,1,Heavy oil,2664
Taxi/Private hire car,6,1,Heavy oil,2664
Bus or coach (17 or more pass seats),1,1,Heavy oil,7300
Car,22,1,Petrol,1766
Motorcycle over 500cc,3,1,Petrol,647
Motorcycle 125cc and under,5,1,Petrol,125
Motorcycle over 500cc,1,1,Petrol,618
Car,17,1,Petrol,1396
Motorcycle 125cc and under,3,1,Petrol,50
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,3,1,Heavy oil,2148
Motorcycle over 500cc,1,1,Petrol,998
Car,6,1,Petrol,1242
Car,2,1,Heavy oil,3222
