Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive,Propulsion_Code,Engine_Capacity_CC
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,1,1,Petrol,1390
Car,10,1,Petrol,1196
Car,10,1,Petrol,1391
Car,4,1,Heavy oil,1896
Motorcycle 125cc and under,1,1,Petrol,124
Car,6,1,Petrol,2398
Motorcycle over 500cc,7,1,Petrol,955
Car,7,1,Petrol,1896
Car,11,1,Petrol,1396
Motorcycle 125cc and under,7,1,Petrol,85
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle 125cc and under,2,1,Petrol,125
Motorcycle over 500cc,7,1,Petrol,800
Motorcycle over 500cc,7,1,Petrol,800
Car,5,1,Petrol,1390
Car,5,1,Petrol,1390
Car,13,1,Petrol,1997
Car,4,1,Petrol,1390
Car,9,1,Petrol,1998
Motorcycle over 500cc,12,1,Petrol,553
Car,6,1,Petrol,1998
Car,19,1,Petrol,1272
Car,2,1,Petrol,1200
Car,8,1,Petrol,999
Car,2,1,Heavy oil,1951
Car,5,1,Petrol,2494
Car,4,1,Petrol,3596
Motorcycle 125cc and under,2,1,Petrol,125
Car,4,1,Petrol,1396
Car,4,1,Petrol,1396
Car,15,1,Petrol,1986
Motorcycle 125cc and under,4,1,Petrol,100
Car,6,1,Petrol,1390
Motorcycle over 500cc,7,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1997
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,4580
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,4580
Motorcycle 125cc and under,1,1,Petrol,125
Van / Goods 3.5 tonnes mgw or under,5,1,Petrol,1968
Motorcycle 125cc and under,6,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,625
Motorcycle over 500cc,2,1,Petrol,998
Car,2,1,Petrol,1598
Car,2,1,Petrol,1598
Car,2,1,Petrol,1598
Bus or coach (17 or more pass seats),3,1,Heavy oil,5883
Car,3,1,Petrol,1783
Car,9,1,Petrol,1747
Car,9,1,Petrol,1781
Motorcycle over 500cc,20,1,Petrol,948
Car,6,1,Petrol,1299
Car,5,1,Petrol,2793
Car,5,1,Petrol,2793
Motorcycle 125cc and under,3,1,Petrol,124
Car,4,1,Petrol,1970
Car,8,1,Petrol,1396
Taxi/Private hire car,10,1,Heavy oil,2664
Taxi/Private hire car,6,1,Heavy oil,2664
Taxi/Private hire car,6,1,Heavy oil,2664
Car,4,1,Petrol,1242
Car,22,1,Petrol,1766
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,2449
Motorcycle 125cc and under,5,1,Petrol,125
Car,8,1,Petrol,1991
Car,17,1,Petrol,1396
Motorcycle 125cc and under,3,1,Petrol,50
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,3,1,Heavy oil,2148
Motorcycle over 500cc,1,1,Petrol,998
Car,6,1,Petrol,1242
Car,2,1,Heavy oil,3222
Motorcycle over 125cc and up to 500cc,7,1,Petrol,499
Car,11,1,Petrol,1389
Car,8,1,Heavy oil,2495
Motorcycle over 500cc,2,1,Petrol,599
Car,2,1,Petrol,1587
Motorcycle 50cc and under,1,1,Petrol,49
Car,7,1,Petrol,1762
Motorcycle over 500cc,3,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,8,1,Heavy oil,2476
Motorcycle over 500cc,2,1,Petrol,600
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Motorcycle over 500cc,15,1,Petrol,805
Car,3,1,Heavy oil,1997
Motorcycle over 500cc,15,1,Petrol,750
Car,9,1,Heavy oil,2497
Car,5,1,Petrol,1997
Car,5,1,Petrol,1997
Other vehicle,2,1,Heavy oil,2689
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,5880
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,5880
Car,2,1,Petrol,2494
Car,4,1,Heavy oil,2926
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,3,1,Petrol,2362
Motorcycle over 125cc and up to 500cc,14,1,Petrol,400
Car,6,1,Petrol,1587
Taxi/Private hire car,10,1,Heavy oil,2664
Car,4,1,Petrol,1299
Car,3,1,Heavy oil,1896
Car,10,1,Petrol,5379
Car,11,1,Petrol,899
Car,2,1,Heavy oil,1997
Car,4,1,Petrol,1769
Car,9,1,Petrol,1598
Car,1,1,Petrol,2979
Car,11,1,Petrol,657
Taxi/Private hire car,15,1,Heavy oil,2664
Car,4,1,Petrol,1242
Motorcycle 50cc and under,5,1,Petrol,49
Motorcycle 50cc and under,3,1,Petrol,49
Car,5,1,Petrol,1595
Car,8,1,Petrol,1396
Car,6,1,Petrol,1973
Motorcycle 125cc and under,1,1,Petrol,125
Car,11,1,Petrol,1389
Car,8,1,Petrol,1984
Car,8,1,Petrol,1984
Motorcycle 50cc and under,2,1,Petrol,49
Car,10,1,Petrol,1598
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,4751
