Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive,Propulsion_Code,Engine_Capacity_CC
Car,3,1,Heavy oil,1999
Car,1,1,Heavy oil,2495
Car,5,1,Petrol,1796
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1686
Car,8,1,Petrol,1796
Car,6,1,Petrol,1598
Car,1,1,Petrol,1600
Car,8,1,Petrol,3199
Motorcycle over 125cc and up to 500cc,2,1,Petrol,223
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Van / Goods 3.5 tonnes mgw or under,17,1,Heavy oil,2404
Car,1,1,Petrol,1596
Car,2,1,Heavy oil,1896
Car,8,1,Petrol,1731
Motorcycle over 500cc,3,1,Petrol,583
Car,6,1,Petrol,1988
Motorcycle over 500cc,1,1,Petrol,647
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,12,1,Petrol,1043
Car,1,1,Heavy oil,2148
Motorcycle 125cc and under,1,1,Petrol,124
Motorcycle over 125cc and up to 500cc,12,1,Petrol,487
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Car,7,1,Petrol,1598
Motorcycle 125cc and under,3,1,Petrol,125
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle over 500cc,1,1,Petrol,600
Car,1,1,Petrol,1199
Bus or coach (17 or more pass seats),2,1,Heavy oil,6370
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,6,1,Heavy oil,2926
Motorcycle over 500cc,11,1,Petrol,1085
Car,2,1,Petrol,1769
Van / Goods 3.5 tonnes mgw or under,8,1,Petrol,970
Car,3,1,Petrol,1149
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,1,1,Petrol,1598
Car,9,1,Petrol,1998
Car,5,1,Petrol,973
Car,3,1,Petrol,2198
Car,3,1,Petrol,1242
Van / Goods 3.5 tonnes mgw or under,3,1,Petrol,1298
Taxi/Private hire car,6,1,Heavy oil,2664
Motorcycle over 500cc,5,1,Petrol,1085
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,5,1,Petrol,1781
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,16,1,Petrol,1396
Car,12,1,Petrol,1796
Car,12,1,Petrol,1796
Motorcycle 50cc and under,2,1,Petrol,49
Motorcycle over 125cc and up to 500cc,2,1,Petrol,487
Motorcycle over 125cc and up to 500cc,2,1,Petrol,487
Car,6,1,Petrol,1796
Motorcycle over 500cc,7,1,Petrol,599
Car,3,1,Petrol,998
Car,4,1,Heavy oil,2171
Car,4,1,Heavy oil,1995
Car,18,1,Petrol,2316
Taxi/Private hire car,1,1,Heavy oil,2402
Car,6,1,Petrol,999
Car,1,1,Petrol,1240
Car,3,1,Heavy oil,1422
Motorcycle over 125cc and up to 500cc,1,1,Petrol,198
Motorcycle over 125cc and up to 500cc,1,1,Petrol,198
Car,3,1,Petrol,1995
Car,5,1,Petrol,1796
Car,6,1,Petrol,1124
Motorcycle 125cc and under,4,1,Petrol,124
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Taxi/Private hire car,8,1,Heavy oil,2664
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Taxi/Private hire car,6,1,Heavy oil,2664
Car,10,1,Petrol,1391
Motorcycle 50cc and under,6,1,Petrol,49
Motorcycle 125cc and under,1,1,Petrol,100
Motorcycle 50cc and under,1,1,Petrol,49
Car,6,1,Heavy oil,1896
Motorcycle 125cc and under,3,1,Petrol,124
Car,10,1,Petrol,954
Car,5,1,Petrol,1598
Taxi/Private hire car,4,1,Heavy oil,2664
Car,7,1,Petrol,1597
Motorcycle over 125cc and up to 500cc,4,1,Petrol,176
Motorcycle over 500cc,12,1,Petrol,553
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1870
Car,1,1,Petrol,1796
Motorcycle 125cc and under,7,1,Petrol,125
Car,8,1,Heavy oil,2088
Car,8,1,Heavy oil,2088
Motorcycle 125cc and under,5,1,Petrol,124
Taxi/Private hire car,8,1,Heavy oil,2664
Car,4,1,Petrol,973
Car,4,1,Petrol,973
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,4,1,Petrol,1242
Motorcycle over 500cc,13,1,Petrol,800
Car,6,1,Petrol,2494
Car,6,1,Heavy oil,1900
Car,1,1,Petrol,1796
Car,11,1,Petrol,1997
Car,5,1,Petrol,2435
Car,6,1,Petrol,2398
Motorcycle over 500cc,3,1,Petrol,1199
Motorcycle over 500cc,3,1,Petrol,1199
Car,9,1,Petrol,1390
Car,5,1,Petrol,1199
Motorcycle 125cc and under,4,1,Petrol,124
Car,4,1,Heavy oil,2685
Van / Goods 3.5 tonnes mgw or under,2,1,Petrol,1149
Car,1,1,Petrol,1798
Car,1,1,Petrol,1798
Car,7,1,Petrol,1590
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2400
Car,7,1,Petrol,1299
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle 125cc and under,2,1,Petrol,124
Car,2,1,Petrol,1397
Motorcycle over 500cc,8,1,Petrol,599
Motorcycle 50cc and under,5,1,Petrol,49
Car,6,1,Heavy oil,1753
Car,5,1,Petrol,1598
Car,5,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2874
Car,9,1,Petrol,1984
Car,1,1,Petrol,1598
Car,5,1,Petrol,2793
Goods over 3.5t. and under 7.5t,6,1,Heavy oil,2874
Car,14,1,Petrol,1235
Van / Goods 3.5 tonnes mgw or under,1,1,Petrol,1298
Motorcycle over 500cc,7,1,Petrol,599
Car,11,1,Petrol,1493
Car,8,1,Petrol,1783
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,6,1,Petrol,2000
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,6,1,Petrol,1799
Taxi/Private hire car,3,1,Heavy oil,2402
Car,10,1,Petrol,1396
Bus or coach (17 or more pass seats),7,1,Heavy oil,4250
Car,9,1,Petrol,1990
Car,6,1,Petrol,1985
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle over 500cc,5,1,Petrol,781
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,8,1,Petrol,1762
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2463
Taxi/Private hire car,7,1,Heavy oil,2664
Car,5,1,Petrol,1598
Car,5,1,Petrol,1850
Car,3,1,Heavy oil,1398
Car,3,1,Heavy oil,1398
Motorcycle over 125cc and up to 500cc,21,1,Petrol,399
Car,8,1,Petrol,1396
Car,4,1,Petrol,1796
Car,4,1,Petrol,1796
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,10,1,Petrol,2316
Car,1,1,Heavy oil,2902
Car,3,1,Petrol,1998
Car,3,1,Petrol,1998
Car,8,1,Petrol,1370
Motorcycle over 500cc,4,1,Petrol,645
Car,5,1,Petrol,1800
Car,4,1,Petrol,1598
Car,4,1,Petrol,1598
Car,4,1,Petrol,1598
Car,11,1,Petrol,1998
Car,9,1,Heavy oil,1527
Car,6,1,Petrol,1599
Car,2,1,Petrol,1781
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle over 500cc,10,1,Petrol,748
Car,3,1,Petrol,599
Car,10,1,Heavy oil,2495
Car,5,1,Petrol,1596
Motorcycle 125cc and under,7,1,Petrol,124
Taxi/Private hire car,6,1,Heavy oil,2664
Car,2,1,Heavy oil,1997
Car,2,1,Heavy oil,1997
Car,8,1,Petrol,1390
Taxi/Private hire car,7,1,Heavy oil,2664
Car,9,1,Petrol,1242
Car,10,1,Heavy oil,1896
Car,12,1,Heavy oil,2495
Car,3,1,Petrol,1596
Taxi/Private hire car,6,1,Heavy oil,2664
Car,9,1,Petrol,1370
Car,7,1,Petrol,1994
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,5,1,Petrol,1400
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Motorcycle over 500cc,6,1,Petrol,996
Motorcycle 125cc and under,2,1,Petrol,125
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2151
Goods 7.5 tonnes mgw and over,3,1,Heavy oil,5880
Motorcycle over 125cc and up to 500cc,5,1,Petrol,500
Motorcycle 125cc and under,6,1,Petrol,85
Taxi/Private hire car,6,1,Heavy oil,2664
Taxi/Private hire car,6,1,Heavy oil,2664
Car,7,1,Petrol,1242
Motorcycle over 500cc,16,1,Petrol,553
Motorcycle over 500cc,7,1,Petrol,599
Motorcycle over 500cc,8,1,Petrol,599
Car,2,1,Petrol,3700
Car,2,1,Petrol,3700
Car,2,1,Petrol,1998
Motorcycle 125cc and under,2,1,Petrol,124
Car,12,1,Petrol,1592
Car,16,1,Petrol,988
Car,6,1,Heavy oil,1896
Car,6,1,Heavy oil,1896
Taxi/Private hire car,6,1,Heavy oil,2664
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,3900
Motorcycle 125cc and under,7,1,Petrol,85
Motorcycle over 500cc,7,1,Petrol,647
Car,10,1,Petrol,2259
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,4,1,Petrol,1970
Motorcycle 125cc and under,9,1,Petrol,85
Car,9,1,Petrol,1598
Car,9,1,Petrol,1849
Taxi/Private hire car,7,1,Heavy oil,2664
Motorcycle 50cc and under,2,1,Petrol,49
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,9,1,Petrol,1599
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,5,1,Petrol,1149
Car,14,1,Petrol,1124
Bus or coach (17 or more pass seats),7,1,Heavy oil,8500
Goods 7.5 tonnes mgw and over,1,1,Heavy oil,5480
Car,4,1,Heavy oil,1896
Car,12,1,Petrol,1389
Car,5,1,Petrol,2498
Motorcycle over 125cc and up to 500cc,14,1,Petrol,487
Taxi/Private hire car,7,1,Heavy oil,2664
Car,6,1,Petrol,1598
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1896
Car,7,1,Petrol,1598
Car,1,1,Petrol,1242
Motorcycle over 500cc,2,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1867
Car,13,1,Heavy oil,2997
Car,13,1,Heavy oil,2997
Car,14,1,Petrol,1781
Car,14,1,Petrol,1781
Motorcycle over 500cc,6,1,Petrol,955
Motorcycle 125cc and under,6,1,Petrol,124
Car,8,1,Heavy oil,1905
Motorcycle over 500cc,5,1,Petrol,553
Car,6,1,Petrol,1242
Taxi/Private hire car,8,1,Heavy oil,2664
Car,1,1,Petrol,2922
Taxi/Private hire car,5,1,Heavy oil,2446
Car,7,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1686
Taxi/Private hire car,12,1,Heavy oil,2664
Car,11,1,Petrol,1796
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Car,7,1,Petrol,1781
Car,3,1,Petrol,1390
Car,1,1,Petrol,3199
Car,15,1,Petrol,1985
Car,2,1,Heavy oil,1997
Car,7,1,Petrol,1796
Motorcycle over 125cc and up to 500cc,4,1,Petrol,198
Motorcycle over 500cc,1,1,Petrol,645
Car,2,1,Petrol,1995
Motorcycle over 500cc,1,1,Petrol,618
Motorcycle over 500cc,1,1,Petrol,645
Goods over 3.5t. and under 7.5t,3,1,Heavy oil,4116
Motorcycle 125cc and under,2,1,Petrol,125
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,11,1,Petrol,1781
Car,1,1,Heavy oil,2776
Car,1,1,Petrol,2979
Car,1,1,Petrol,2979
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Car,4,1,Petrol,2979
Car,1,1,Petrol,1796
Car,11,1,Petrol,1796
Bus or coach (17 or more pass seats),7,1,Heavy oil,5900
Motorcycle 125cc and under,3,1,Petrol,124
Car,8,1,Petrol,1988
Car,8,1,Petrol,1988
Bus or coach (17 or more pass seats),3,1,Heavy oil,7300
Car,7,1,Petrol,1390
Car,7,1,Petrol,1390
Motorcycle 50cc and under,1,1,Petrol,49
Taxi/Private hire car,4,1,Heavy oil,2664
Taxi/Private hire car,10,1,Heavy oil,2664
Taxi/Private hire car,6,1,Heavy oil,2664
Taxi/Private hire car,6,1,Heavy oil,2664
Motorcycle 50cc and under,3,1,Petrol,49
Motorcycle over 500cc,7,1,Petrol,918
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2400
Car,3,1,Petrol,1989
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,1998
Car,14,1,Petrol,1995
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2798
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,12,1,Petrol,1390
Motorcycle 125cc and under,3,1,Petrol,124
Car,12,1,Petrol,1590
Car,5,1,Petrol,1360
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2446
Car,6,1,Petrol,1796
Car,6,1,Petrol,1124
Car,6,1,Petrol,1124
Car,15,1,Petrol,1580
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Motorcycle 50cc and under,5,1,Petrol,49
Taxi/Private hire car,13,1,Heavy oil,2664
Car,4,1,Petrol,1149
Car,7,1,Petrol,1242
Car,12,1,Heavy oil,2198
Motorcycle over 500cc,6,1,Petrol,1052
Motorcycle over 500cc,6,1,Petrol,1052
Car,3,1,Heavy oil,2148
Car,2,1,Petrol,1794
Motorcycle 125cc and under,2,1,Petrol,124
Motorcycle 125cc and under,2,1,Petrol,124
Car,1,1,Petrol,2597
Car,14,1,Petrol,1235
Motorcycle 50cc and under,5,1,Petrol,49
Car,7,1,Heavy oil,1753
Taxi/Private hire car,9,1,Petrol/Gas (LPG),1800
Car,4,1,Petrol,3246
Van / Goods 3.5 tonnes mgw or under,2,1,Petrol,5700
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle 125cc and under,6,1,Petrol,124
Car,4,1,Petrol,1598
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle over 500cc,1,1,Petrol,996
Motorcycle over 500cc,1,1,Petrol,996
Motorcycle 125cc and under,5,1,Petrol,85
Motorcycle 125cc and under,5,1,Petrol,85
Bus or coach (17 or more pass seats),4,1,Heavy oil,5883
Car,8,1,Petrol,2164
Motorcycle over 125cc and up to 500cc,12,1,Petrol,400
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2402
Car,13,1,Petrol,1998
Car,8,1,Petrol,1242
Car,2,1,Petrol,4966
Car,22,1,Petrol,1093
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2402
Bus or coach (17 or more pass seats),4,1,Heavy oil,8268
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Car,1,1,Heavy oil,1997
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,4116
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,4116
Car,5,1,Petrol,2979
Car,5,1,Petrol,1997
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,2,1,Petrol,1360
Car,9,1,Petrol,1598
Car,4,1,Petrol,1794
Car,13,1,Petrol,2226
Car,6,1,Petrol,2498
Motorcycle 50cc and under,6,1,Petrol,49
Car,1,1,Petrol,3199
Car,3,1,Petrol,1595
Car,5,1,Petrol,1998
Motorcycle over 500cc,5,1,Petrol,781
Motorcycle 125cc and under,31,1,Petrol,125
Car,3,1,Petrol,1299
Car,6,1,Petrol,1396
Car,5,1,Petrol,1679
Car,5,1,Petrol,1679
Motorcycle over 125cc and up to 500cc,2,1,Petrol,198
Car,2,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,2151
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2179
Motorcycle over 500cc,13,1,Petrol,600
Motorcycle 50cc and under,1,1,Petrol,49
Car,11,1,Petrol,1597
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2179
Car,9,1,Petrol,1948
Motorcycle over 500cc,2,1,Petrol,988
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2187
Motorcycle 125cc and under,1,1,Petrol,124
Car,2,1,Petrol,2979
Motorcycle 125cc and under,9,1,Petrol,85
Goods over 3.5t. and under 7.5t,1,1,Heavy oil,3920
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,2800
Taxi/Private hire car,6,1,Heavy oil,2664
Taxi/Private hire car,1,1,Heavy oil,2402
Taxi/Private hire car,1,1,Heavy oil,2402
Motorcycle 125cc and under,5,1,Petrol,100
Car,2,1,Petrol,2656
Car,5,1,Petrol,1396
Car,7,1,Petrol,1997
Car,7,1,Petrol,1581
Taxi/Private hire car,2,1,Heavy oil,2402
Taxi/Private hire car,2,1,Heavy oil,2402
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle over 125cc and up to 500cc,4,1,Petrol,499
Motorcycle over 125cc and up to 500cc,4,1,Petrol,499
Motorcycle over 125cc and up to 500cc,4,1,Petrol,499
Car,1,1,Petrol,3600
Car,1,1,Petrol,1799
Taxi/Private hire car,3,1,Heavy oil,2402
Car,5,1,Petrol,1389
Car,2,1,Heavy oil,1896
Car,2,1,Heavy oil,1896
Car,2,1,Heavy oil,1896
Van / Goods 3.5 tonnes mgw or under,9,1,Heavy oil,2370
Bus or coach (17 or more pass seats),5,1,Heavy oil,8650
Bus or coach (17 or more pass seats),5,1,Heavy oil,8650
Car,5,1,Petrol,1242
Car,1,1,Petrol,1598
Car,7,1,Petrol,1242
Other vehicle,6,1,Petrol,3500
Taxi/Private hire car,8,1,Heavy oil,2664
Car,7,1,Petrol,1796
Goods 7.5 tonnes mgw and over,5,1,Heavy oil,11967
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,2874
Bus or coach (17 or more pass seats),7,1,Heavy oil,8500
Car,3,1,Petrol,1360
Taxi/Private hire car,6,1,Heavy oil,2664
Car,2,1,Petrol,1598
Car,1,1,Heavy oil,1991
Car,6,1,Petrol,1998
Car,1,1,Petrol,1995
Motorcycle 50cc and under,5,1,Petrol,49
Car,1,1,Petrol,1587
Car,1,1,Petrol,1587
Car,3,1,Heavy oil,1995
Car,1,1,Petrol,2171
Car,11,1,Petrol,1794
Car,9,1,Petrol,1299
Car,7,1,Petrol,1985
Motorcycle over 500cc,4,1,Petrol,599
Motorcycle over 500cc,4,1,Petrol,599
Taxi/Private hire car,1,1,Heavy oil,2402
Motorcycle over 500cc,4,1,Petrol,599
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,2800
Car,12,1,Heavy oil,1870
Car,11,1,Petrol,1389
Car,12,1,Petrol,1587
Motorcycle over 500cc,18,1,Petrol,750
Car,1,1,Petrol,2979
Car,4,1,Petrol,1390
Motorcycle 50cc and under,6,1,Petrol,49
Motorcycle 50cc and under,6,1,Petrol,49
Motorcycle 125cc and under,1,1,Petrol,124
Bus or coach (17 or more pass seats),1,1,Heavy oil,6370
Bus or coach (17 or more pass seats),5,1,Heavy oil,7300
Bus or coach (17 or more pass seats),5,1,Heavy oil,7300
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Car,8,1,Petrol,899
Car,8,1,Petrol,899
Motorcycle over 500cc,1,1,Petrol,599
Car,5,1,Petrol,1769
Car,6,1,Petrol,1242
Car,17,1,Heavy oil,1997
Bus or coach (17 or more pass seats),2,1,Heavy oil,3900
Car,7,1,Petrol,1391
Car,5,1,Heavy oil,1997
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,4250
Car,6,1,Petrol,1599
Motorcycle over 500cc,8,1,Petrol,899
Motorcycle over 500cc,8,1,Petrol,996
Van / Goods 3.5 tonnes mgw or under,6,1,Heavy oil,1753
Car,8,1,Petrol,1796
Car,4,1,Heavy oil,1995
Car,7,1,Petrol,1850
Taxi/Private hire car,7,1,Heavy oil,2664
Car,10,1,Petrol,1998
Van / Goods 3.5 tonnes mgw or under,11,1,Heavy oil,1686
Motorcycle over 500cc,1,1,Petrol,998
Minibus (8 - 16 passenger seats),2,1,Heavy oil,1998
Minibus (8 - 16 passenger seats),2,1,Heavy oil,1998
Car,2,1,Petrol,1388
Motorcycle 125cc and under,4,1,Petrol,124
Motorcycle 125cc and under,4,1,Petrol,125
Car,7,1,Petrol,1798
Motorcycle over 500cc,5,1,Petrol,599
Motorcycle over 500cc,5,1,Petrol,599
Car,12,1,Petrol,1794
Motorcycle 125cc and under,3,1,Petrol,124
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,8,1,Petrol,1332
Car,8,1,Petrol,1332
Car,6,1,Heavy oil,1896
Motorcycle over 500cc,4,1,Petrol,599
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Motorcycle over 125cc and up to 500cc,1,1,Petrol,459
Van / Goods 3.5 tonnes mgw or under,7,1,Heavy oil,2799
Car,8,1,Petrol,1799
Van / Goods 3.5 tonnes mgw or under,1,1,Heavy oil,2402
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle 125cc and under,3,1,Petrol,124
Motorcycle 125cc and under,3,1,Petrol,124
Car,9,1,Petrol,1799
Motorcycle over 500cc,11,1,Petrol,553
Motorcycle over 500cc,17,1,Petrol,997
Motorcycle over 500cc,17,1,Petrol,997
Motorcycle 50cc and under,1,1,Petrol,49
Car,6,1,Petrol,1298
Car,1,1,Petrol,1769
Car,3,1,Heavy oil,2179
Motorcycle 125cc and under,2,1,Petrol,125
Car,5,1,Petrol,1781
Motorcycle 125cc and under,6,1,Petrol,100
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,1910
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Car,2,1,Petrol,1798
Car,14,1,Petrol,1797
Motorcycle over 500cc,3,1,Petrol,781
Motorcycle over 500cc,5,1,Petrol,599
Car,7,1,Petrol,2295
Car,7,1,Petrol,1598
Bus or coach (17 or more pass seats),3,1,Heavy oil,8268
Motorcycle 125cc and under,4,1,Petrol,124
Bus or coach (17 or more pass seats),2,1,Heavy oil,8268
Motorcycle 125cc and under,6,1,Petrol,124
Motorcycle 125cc and under,6,1,Petrol,124
Car,8,1,Petrol,1988
Goods 7.5 tonnes mgw and over,1,1,Heavy oil,12130
Motorcycle over 500cc,4,1,Petrol,599
Car,15,1,Petrol,1997
Car,2,1,Petrol,1242
Motorcycle over 500cc,3,1,Petrol,955
Motorcycle over 125cc and up to 500cc,14,1,Petrol,400
Motorcycle over 125cc and up to 500cc,14,1,Petrol,400
Car,12,1,Petrol,1781
Car,8,1,Petrol,1388
Motorcycle over 500cc,8,1,Petrol,647
Motorcycle over 500cc,8,1,Petrol,647
Car,3,1,Heavy oil,1896
Car,7,1,Heavy oil,1905
Car,7,1,Heavy oil,1905
Motorcycle over 500cc,4,1,Petrol,988
Car,7,1,Petrol,2946
Motorcycle 125cc and under,5,1,Petrol,124
Car,6,1,Petrol,1600
Car,4,1,Petrol,2362
Car,8,1,Petrol,1762
Bus or coach (17 or more pass seats),1,1,Heavy oil,8268
Bus or coach (17 or more pass seats),4,1,Heavy oil,7300
Car,4,1,Petrol,1598
Motorcycle over 500cc,4,1,Petrol,599
Car,2,1,Petrol,1149
Motorcycle 50cc and under,1,1,Petrol,49
Car,3,1,Petrol,1995
Car,12,1,Petrol,1998
Motorcycle 125cc and under,1,1,Petrol,125
Car,4,1,Petrol,2198
Car,4,1,Petrol,2198
Car,1,1,Petrol,1397
Motorcycle over 500cc,3,1,Petrol,738
Taxi/Private hire car,10,1,Heavy oil,2664
Car,7,1,Petrol,1994
Car,7,1,Petrol,1994
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,125
Car,6,1,Petrol,1998
Car,13,1,Petrol,1796
Car,16,1,Petrol,1598
Motorcycle over 125cc and up to 500cc,6,1,Petrol,498
Motorcycle over 125cc and up to 500cc,6,1,Petrol,498
Motorcycle 50cc and under,2,1,Petrol,49
Car,4,1,Petrol,1298
Bus or coach (17 or more pass seats),1,1,Heavy oil,3900
Car,16,1,Petrol,2316
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1900
Car,8,1,Heavy oil,1896
Motorcycle 125cc and under,3,1,Petrol,124
Car,6,1,Petrol,1587
Goods 7.5 tonnes mgw and over,7,1,Heavy oil,6871
Motorcycle over 500cc,16,1,Petrol,650
Car,13,1,Petrol,1794
Motorcycle over 500cc,11,1,Petrol,740
Taxi/Private hire car,5,1,Petrol,1794
Car,2,1,Petrol,1898
Car,16,1,Heavy oil,1769
Car,10,1,Petrol,1590
Car,10,1,Petrol,1590
Bus or coach (17 or more pass seats),7,1,Heavy oil,5900
Car,5,1,Petrol,1800
Car,23,1,Petrol,1296
Motorcycle 50cc and under,3,1,Petrol,49
Car,11,1,Petrol,1275
Car,11,1,Petrol,1275
Car,11,1,Petrol,1275
Van / Goods 3.5 tonnes mgw or under,4,1,Heavy oil,1686
Car,13,1,Petrol,1124
Car,8,1,Petrol,3960
Motorcycle over 500cc,6,1,Petrol,1100
Motorcycle over 500cc,6,1,Petrol,1100
Car,6,1,Heavy oil,1896
Motorcycle 125cc and under,1,1,Petrol,125
Motorcycle 125cc and under,1,1,Petrol,102
Car,17,1,Petrol,1781
Car,1,1,Petrol,1364
Motorcycle 125cc and under,3,1,Petrol,124
Car,7,1,Heavy oil,2499
Car,7,1,Heavy oil,2499
Car,7,1,Heavy oil,2499
Car,7,1,Heavy oil,2499
Car,7,1,Petrol,1242
Car,7,1,Petrol,1242
Taxi/Private hire car,7,2,Heavy oil,2664
Taxi/Private hire car,7,2,Heavy oil,2664
Taxi/Private hire car,7,2,Heavy oil,2664
Motorcycle over 500cc,26,1,Petrol,652
Van / Goods 3.5 tonnes mgw or under,3,1,Heavy oil,1753
Car,3,1,Petrol,1360
Car,1,1,Petrol,1598
Car,8,1,Heavy oil,1905
Car,7,1,Petrol,1761
Car,7,1,Petrol,1761
Car,7,1,Petrol,1761
Car,7,1,Petrol,1761
Car,12,1,Petrol,1396
Car,12,1,Petrol,1396
Car,8,1,Petrol,2498
Motorcycle 125cc and under,6,1,Petrol,85
Car,4,1,Heavy oil,1997
Motorcycle over 500cc,2,1,Petrol,599
Car,8,1,Petrol,1796
Taxi/Private hire car,4,1,Heavy oil,2664
Taxi/Private hire car,4,1,Heavy oil,2664
Motorcycle 50cc and under,1,1,Petrol,49
Car,1,1,Heavy oil,1951
Taxi/Private hire car,7,1,Heavy oil,2664
Taxi/Private hire car,7,1,Heavy oil,2664
Taxi/Private hire car,7,1,Heavy oil,2664
Car,8,1,Petrol,3199
Bus or coach (17 or more pass seats),2,1,Heavy oil,7300
Motorcycle 125cc and under,7,1,Petrol,124
Taxi/Private hire car,1,1,Heavy oil,2402
Car,2,1,Petrol,1341
Motorcycle 125cc and under,5,1,Petrol,85
Car,3,1,Petrol,1299
Car,11,1,Petrol,1389
Car,5,1,Petrol,1595
Van / Goods 3.5 tonnes mgw or under,2,1,Heavy oil,2151
Goods over 3.5t. and under 7.5t,2,1,Heavy oil,4250
Motorcycle over 500cc,9,1,Petrol,1084
Taxi/Private hire car,8,1,Heavy oil,2664
Motorcycle 125cc and under,7,1,Petrol,125
Car,16,1,Petrol,1781
