,Vehicle_Type,Age_of_Vehicle,Was_Vehicle_Left_Hand_Drive?,Propulsion_Code,Engine_Capacity_(CC)
82,Car,12.0,1.0,Petrol,1761.0
83,Car,9.0,1.0,Petrol,2799.0
84,Motorcycle 125cc and under,2.0,1.0,Petrol,125.0
85,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
86,Taxi/Private hire car,6.0,1.0,Heavy oil,2664.0
88,Car,8.0,1.0,Heavy oil,1905.0
89,Car,5.0,1.0,Petrol,1396.0
90,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
96,Motorcycle 125cc and under,1.0,1.0,Petrol,124.0
97,Motorcycle over 500cc,8.0,1.0,Petrol,749.0
98,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
100,Motorcycle 50cc and under,2.0,1.0,Petrol,49.0
102,Car,11.0,1.0,Petrol,1997.0
103,Car,11.0,1.0,Petrol,1997.0
104,Car,3.0,1.0,Petrol,1242.0
105,Car,3.0,1.0,Petrol,1242.0
107,Car,2.0,1.0,Heavy oil,1997.0
108,Motorcycle 50cc and under,5.0,1.0,Petrol,49.0
110,Car,1.0,1.0,Petrol,3246.0
111,Bus or coach (17 or more pass seats),2.0,1.0,Heavy oil,7300.0
113,Car,2.0,1.0,Petrol,3950.0
115,Motorcycle over 500cc,3.0,1.0,Petrol,645.0
116,Car,5.0,1.0,Heavy oil,1900.0
117,Car,5.0,1.0,Petrol,3199.0
118,Motorcycle over 125cc and up to 500cc,11.0,1.0,Petrol,399.0
119,Car,1.0,1.0,Petrol,1360.0
121,Motorcycle over 500cc,3.0,1.0,Petrol,988.0
122,Car,15.0,1.0,Petrol,1985.0
123,Car,12.0,1.0,Petrol,954.0
124,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
128,Van / Goods 3.5 tonnes mgw or under,2.0,1.0,Heavy oil,1686.0
129,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
130,Motorcycle 125cc and under,5.0,1.0,Petrol,124.0
134,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
135,Car,8.0,1.0,Petrol,1332.0
138,Bus or coach (17 or more pass seats),3.0,1.0,Heavy oil,8268.0
141,Car,12.0,1.0,Petrol,1781.0
143,Motorcycle 50cc and under,1.0,1.0,Petrol,49.0
144,Car,3.0,1.0,Petrol,1242.0
145,Car,12.0,1.0,Petrol,998.0
147,Motorcycle over 125cc and up to 500cc,13.0,1.0,Petrol,399.0
148,Motorcycle over 500cc,1.0,1.0,Petrol,1130.0
153,Motorcycle over 500cc,3.0,1.0,Petrol,618.0
154,Car,5.0,1.0,Petrol,1796.0
156,Motorcycle 50cc and under,3.0,1.0,Petrol,49.0
163,Car,3.0,1.0,Petrol,1360.0
164,Motorcycle over 500cc,8.0,1.0,Petrol,1137.0
166,Car,6.0,1.0,Petrol,1598.0
172,Motorcycle 125cc and under,6.0,1.0,Petrol,124.0
173,Motorcycle over 500cc,6.0,1.0,Petrol,599.0
174,Motorcycle over 500cc,2.0,1.0,Petrol,645.0
180,Motorcycle 125cc and under,9.0,1.0,Petrol,124.0
181,Car,3.0,1.0,Petrol,2171.0
183,Motorcycle over 500cc,19.0,1.0,Petrol,564.0
184,Motorcycle over 500cc,19.0,1.0,Petrol,564.0
185,Motorcycle over 500cc,5.0,1.0,Petrol,599.0
189,Motorcycle 125cc and under,10.0,1.0,Petrol,124.0
190,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
193,Car,6.0,1.0,Petrol,3199.0
195,Car,10.0,1.0,Petrol,1108.0
196,Car,1.0,1.0,Petrol,1600.0
197,Motorcycle 125cc and under,4.0,1.0,Petrol,85.0
198,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
199,Car,7.0,1.0,Petrol,1970.0
200,Car,9.0,1.0,Heavy oil,1905.0
205,Motorcycle over 500cc,2.0,1.0,Petrol,1298.0
207,Bus or coach (17 or more pass seats),7.0,1.0,Heavy oil,4250.0
208,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
209,Van / Goods 3.5 tonnes mgw or under,3.0,1.0,Heavy oil,2402.0
210,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
214,Motorcycle over 500cc,6.0,1.0,Petrol,600.0
215,Bus or coach (17 or more pass seats),1.0,1.0,Heavy oil,730.0
216,Van / Goods 3.5 tonnes mgw or under,8.0,1.0,Heavy oil,1896.0
218,Car,1.0,1.0,Heavy oil,1998.0
219,Motorcycle 125cc and under,2.0,1.0,Petrol,124.0
220,Motorcycle 125cc and under,1.0,1.0,Petrol,125.0
221,Motorcycle 125cc and under,4.0,1.0,Petrol,125.0
222,Car,16.0,1.0,Petrol,2962.0
225,Car,6.0,1.0,Petrol,1799.0
226,Car,2.0,1.0,Petrol,1798.0
227,Car,14.0,1.0,Petrol,1997.0
228,Motorcycle 125cc and under,4.0,1.0,Petrol,124.0
229,Taxi/Private hire car,10.0,1.0,Heavy oil,2664.0
230,Motorcycle over 125cc and up to 500cc,2.0,1.0,Petrol,198.0
231,Taxi/Private hire car,4.0,1.0,Heavy oil,2664.0
232,Car,1.0,1.0,Petrol,1242.0
235,Motorcycle over 500cc,9.0,1.0,Petrol,937.0
238,Car,7.0,1.0,Heavy oil,1905.0
239,Car,5.0,1.0,Petrol,1000.0
240,Motorcycle over 500cc,2.0,1.0,Petrol,599.0
242,Bus or coach (17 or more pass seats),4.0,1.0,Heavy oil,7300.0
244,Motorcycle over 500cc,6.0,1.0,Petrol,645.0
245,Car,7.0,1.0,Petrol,2438.0
246,Car,1.0,1.0,Heavy oil,1997.0
250,Taxi/Private hire car,7.0,1.0,Heavy oil,2664.0
253,Car,2.0,1.0,Petrol,1598.0
254,Motorcycle over 500cc,1.0,1.0,Petrol,1130.0
256,Car,11.0,1.0,Petrol,1596.0
258,Motorcycle over 500cc,9.0,1.0,Petrol,599.0
259,Motorcycle over 500cc,9.0,1.0,Petrol,1188.0
261,Taxi/Private hire car,5.0,1.0,Heavy oil,2664.0
263,Taxi/Private hire car,14.0,1.0,Heavy oil,2664.0
264,Car,11.0,1.0,Petrol,1834.0
265,Car,16.0,1.0,Petrol,1235.0
269,Motorcycle 125cc and under,6.0,1.0,Petrol,124.0
